evidence_id,title,source_type,uri,accessed_on,supports,limitations
EV-FEED-PRODUCT-KINDS,Regulation (EC) No 767/2009,regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R0767,2026-08-12,"Separates feed materials, compound feeds, complete feeds, and complementary feeds.",Does not classify every legacy AOM product label.
EV-FEED-ADDITIVE-CATEGORIES,Regulation (EC) No 1831/2003,regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32003R1831,2026-08-12,"Defines technological, sensory, nutritional, zootechnical, coccidiostat, and histomonostat additive categories.","Authorization remains substance, preparation, use, species, and date specific."
EV-FEED-MATERIAL-CATALOGUE,Commission Regulation (EU) No 68/2013,regulation,https://eur-lex.europa.eu/eli/reg/2013/68/oj/eng,2026-08-12,"Supports mineral feed materials, glycerine, former foodstuffs, and processing definitions.",Catalogue inclusion does not prove identity for ambiguous brands or waste streams.
EV-WASTE-BYPRODUCT-DISTINCTION,Directive 2008/98/EC on waste,regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0098,2026-08-12,Distinguishes qualifying by-products from waste and defines waste around discard status.,Legal status is jurisdictional and fact-specific; a source label alone cannot establish compliance.
EV-ANIMAL-BYPRODUCTS,Regulation (EC) No 1069/2009,regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009R1069,2026-08-12,Defines animal by-products and derived products separately from generic waste and material identity.,Does not cover plant offal terminology or authorize a material for feed.
EV-AGROVOC-ADDITIVES,AGROVOC feed additives,authority vocabulary,https://agrovoc.fao.org/browse/agrovoc/en/page/c_2827,2026-08-12,Separates feed-additive use from ordinary feed consumption.,Broad vocabulary scope does not replace regulatory authorization.
EV-AGROVOC-SUPPLEMENTS,AGROVOC supplements,authority vocabulary,https://agrovoc.fao.org/browse/agrovoc/en/page/c_33996,2026-08-12,"Defines supplement by use with another feed, supporting role/formulation treatment rather than material identity.",Does not classify every product called supplement.
EV-AGROVOC-ORGANIC-ACIDS,AGROVOC organic acids,authority vocabulary,https://agrovoc.fao.org/browse/agrovoc/en/page/c_5383,2026-08-12,Places organic acids on a chemical identity axis.,Intended additive function requires separate evidence.
EV-FOODON-FACETS,FoodOn food facets,ontology,https://foodon.org/food-facets/,2026-08-12,"Supports separation of material, anatomy, chemical, quality, and process axes.",FoodOn scope is food-system wide and requires AOM-specific adaptation.
EV-FOODON-PROCESSES,FoodOn transformation processes,ontology,https://foodon.org/food-facets/food-transformation-process/,2026-08-12,Supports process objective and component-separation modelling.,Does not prove a process was applied to a specific AOM material.
EV-FOODON-RELATIONS,FoodOn relations,ontology,https://foodon.org/design/foodon-relations/,2026-08-12,Supports output/provenance relations distinct from processing applied to a feed.,AOM does not yet publish upstream brewing provenance assertions.
EV-MEGALAC,Megalac product evidence,manufacturer,https://www.megalac.com/resources-advice/fats-advice/64-rumenprotected-fats-calcium-salt-supplements,2026-08-12,Supports calcium-salt rumen-protected fat product identity.,"Manufacturer evidence applies to named product, not every protected-fat term."
EV-ELANCOBAN,EFSA Elancoban assessment,regulatory assessment,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2026.10123,2026-08-12,Supports monensin-sodium coccidiostatic feed-additive identity.,Authorization conditions remain dated and jurisdiction specific.
EV-WHOLE-GRAIN,Whole Grains Council definition,industry definition,https://wholegrainscouncil.org/definition-whole-grain,2026-08-12,"Supports bran, germ, and endosperm retention despite grinding.","Industry definition is used for component-retention semantics, not regulatory feed claims."
EV-OWL-OPEN-WORLD,OWL 2 structural specification,standard,https://www.w3.org/TR/owl-syntax/#Negative_Object_Property_Assertions,2026-08-12,Supports explicit negative assertions and prevents treating missing process assertions as negative facts.,Positive retained-component statements still require source evidence.
