source_name,accepted_name,rank,ncbi_taxon_id,ncbi_uri,wfo_candidate_id,decision_action,status,reviewer,review_date,evidence,rationale
Zea mays,Zea mays,species,NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,wfo-0000907754,accept_ncbi_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4577,NCBI confirms current species name and identifier; WFO candidate requires separate nomenclatural review.
Glycine max,Glycine max,species,NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,wfo-0000181462,accept_ncbi_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3847,NCBI confirms current species name and identifier; WFO candidate requires separate nomenclatural review.
Triticum aestivum,Triticum aestivum,species,NCBITaxon_4565,http://purl.obolibrary.org/obo/NCBITaxon_4565,wfo-0000905667,accept_ncbi_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4565,NCBI confirms current species name and identifier; WFO candidate requires separate nomenclatural review.
Gossypium,Gossypium,genus,NCBITaxon_3633,http://purl.obolibrary.org/obo/NCBITaxon_3633,wfo-4000016081,accept_ncbi_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3633,Genus-level evidence must not be promoted to species identity.
Arachis hypogaea,Arachis hypogaea,species,NCBITaxon_3818,http://purl.obolibrary.org/obo/NCBITaxon_3818,wfo-0000174378,accept_ncbi_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3818,NCBI confirms current species name and identifier; WFO candidate requires separate nomenclatural review.
Pennisetum purpureum,Cenchrus purpureus,species,NCBITaxon_154765,http://purl.obolibrary.org/obo/NCBITaxon_154765,wfo-0000889087,accept_ncbi_as_synonym_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=154765,NCBI retains same identifier but current name is Cenchrus purpureus and records Pennisetum purpureum as basionym.
Ostreidae,Ostreidae,family,NCBITaxon_6563,http://purl.obolibrary.org/obo/NCBITaxon_6563,,accept_ncbi,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=6563,Family-level evidence must remain family rank and has no WFO target.
Helianthus annuus,Helianthus annuus,species,NCBITaxon_4232,http://purl.obolibrary.org/obo/NCBITaxon_4232,wfo-0000088131,accept_ncbi_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4232,NCBI candidate retained; WFO candidate requires separate nomenclatural review.
Oryza sativa,Oryza sativa,species,NCBITaxon_4530,http://purl.obolibrary.org/obo/NCBITaxon_4530,wfo-0000882438,accept_ncbi_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4530,NCBI confirms current species name and identifier; WFO candidate requires separate nomenclatural review.
Guizotia abyssinica,Guizotia abyssinica,species,NCBITaxon_4146,http://purl.obolibrary.org/obo/NCBITaxon_4146,wfo-0000095153,accept_ncbi_hold_wfo,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4146,NCBI candidate retained; WFO candidate requires separate nomenclatural review.
