mapping_system,mapping_value,concept_ids,preferred_labels,candidate_count,status,recommended_action
CPC_Code_Product,0111,AOM_000585;AOM_000586;AOM_000587;AOM_000589;AOM_000591;AOM_000660;AOM_001261;AOM_001262;AOM_001318;AOM_001319;AOM_001346;AOM_001622;AOM_001623;AOM_001624;AOM_001750;AOM_001751;AOM_001887;AOM_002017;AOM_002124;AOM_006181;AOM_006206,Wheat Bran;Wheat Bran Remoulage;Wheat Dried;Wheat Offal;Wheat Shorts;Wheat Whole Ground;Wheat Ground Remoulage;Wheat Straw Dried Urea Treated;Wheat Grain;Wheat;Wheat Ground;Wheat Bran Ground;Wheat Offal Ground;Wheat Straw Lime Treated Urea Treated;Wheat Straw Ground;Wheat Straw Urea Treated;Wheat Straw;Wheat Grain Ground;Wheat Crushed;Wheat Straw Ensiled;Wheat Straw Ensiled Fermented,21,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0112,AOM_000569;AOM_000570;AOM_000571;AOM_000572;AOM_000648;AOM_000649;AOM_000651;AOM_001289;AOM_001292;AOM_001293;AOM_001294;AOM_001295;AOM_001297;AOM_001298;AOM_001299;AOM_001313;AOM_001324;AOM_001326;AOM_001614;AOM_001615;AOM_001617;AOM_001656;AOM_001674;AOM_001679;AOM_001682;AOM_001684;AOM_001686;AOM_001687;AOM_001688;AOM_001844;AOM_001885;AOM_001942;AOM_001943;AOM_001944;AOM_002016;AOM_002031;AOM_002083;AOM_002108;AOM_002119;AOM_003297;AOM_006001;AOM_006002;AOM_006071;AOM_006072;AOM_006076;AOM_006126;AOM_006127;AOM_006128;AOM_006129;AOM_006164;AOM_006165;AOM_006175;AOM_006218;AOM_006226;AOM_006397,Maize Cob;Maize Extruded;Maize Offal;Maize Straw;Maize;Maize Grain;Maize Oil;Maize Starch;Maize Gluten;Maize Gluten Ground;Maize Germ;Maize Germ Ground;Maize Sheath;Maize Leaves;Maize Husk;Maize Whole;Maize Whole Ground;Maize Ensiled;Maize Bran;Maize Sheath Ground;Maize Straw Dried Ground;Maize Dried Ground;Maize Ground;Maize Grain Ground;Maize Straw Ground;Maize Straw Dried Ensiled Ground Urea Treated;Maize Straw Dried;Maize Straw Urea Treated;Maize Straw Ground Urea Treated;Maize Bran Ground;Maize Straw Ensiled Urea Treated;Maize Husk Dried Ground;Maize Cob Ensiled;Maize Leaves Dried;Maize Bran Dried Ground;Maize Dried Ground Heated;Maize Cob Ensiled Urea Treated;Maize Cracked;Maize Crushed;Maize Steep Liquor;Maize Stover;Maize Stover Urea Treated;Maize Cob Ground;Maize Whole Ensiled;Maize Stover Ensiled;Maize Bran Dried;Maize Offal Dried;Maize Offal Ground;Maize Offal Dried Ground;Maize Grain Crushed;Maize Straw Ensiled Urea Treated Wilted;Maize Straw Ensiled Fermented;Maize Cob Enzyme Treated Ground;Maize Bran Alkali Treated Ground;Maize Straw Molasses Treated Urea Treated,55,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0113,AOM_000575;AOM_000576;AOM_000577;AOM_000578;AOM_000579;AOM_000655;AOM_000656;AOM_001280;AOM_001619;AOM_002084;AOM_002114;AOM_003692;AOM_003854;AOM_006156;AOM_006187;AOM_006188;AOM_006190;AOM_006191;AOM_006192;AOM_006299;AOM_006300;AOM_006301;AOM_006302;AOM_006303;AOM_006304;AOM_006335;AOM_006336;AOM_006337;AOM_006413,Rice Bran;Rice Husk;Rice Offal;Rice Polish;Rice Straw;Rice Grain;Whole Rice Ground;Rice Hull;Rice Husk Dried Urea Treated;Spent Rice Straw;Rice Bran Solvent;Rice Straw Molasses Treated;Rice Milling Waste;Rice Grain Ground;Rice Husk Ensiled;Rice Husk Fermented;Rice Straw Ground;Rice Straw Dried;Rice Straw Dried Ensiled Urea Treated;Rice Husk Enzyme Treated;Rice Offal Ground;Rice Straw Ensiled Urea Treated;Rice Straw Urea Treated;Rice Straw Dried Urea Treated;Rice Straw Fermented Ground;Rice Offal Dried;Rice Straw Dried Ground;Rice Straw Dried Fermented Ground;Rice Straw Ensiled,29,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0114,AOM_000581;AOM_000657;AOM_001276;AOM_001316;AOM_001339;AOM_001365;AOM_001772;AOM_001813;AOM_001814;AOM_001892;AOM_001945;AOM_002086;AOM_002117;AOM_002339;AOM_006005;AOM_006312;AOM_006313;AOM_006314;AOM_006316;AOM_006328,Sorghum Straw;Sorghum Grain;Sorghum Ground;Sorghum;Sorghum Ensiled;Sorghum Sprout;Sorghum Bran;Sorghum Brewers Grain;Sorghum Brewers Grain Dried;Sorghum Threshed Top;Sorghum Brewers Grain Dried Refermented;Sorghum Sprout Dried Ground;Sorghum Straw Alkali Treated Dried;Sorghum Husk;Sorghum Brewers Grain Refermented;Sorghum Husk Urea Treated;Sorghum Straw Crushed;Sorghum Straw Crushed Dried Fermented;Sorghum Dried;Sorghum Straw Dried Ground,20,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0115,AOM_000584;AOM_000647;AOM_001178;AOM_001202;AOM_001613;AOM_001806;AOM_002013;AOM_006033;AOM_006034;AOM_006035;AOM_006040,Barley Straw;Barley Grain Crushed;Barley Dried;Barley;Barley Ground;Barley Bran;Barley Dried Ground;Barley Grain;Barley Sprouted Grain;Barley Straw Fermented;Barley Straw Dried,11,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0117,AOM_000574;AOM_001331;AOM_001332;AOM_001355;AOM_001618;AOM_001702;AOM_001835;AOM_001895;AOM_001959;AOM_006142;AOM_006143,Oat Leaves Dried;Oat Grain;Oat Ground;Oat Ensiled;Oat Fodder;Oat Leaves Dried Ground;Oat Straw;Oat;Oat Grain Dried Wilted;Oat Straw Dried;Oat Dried,11,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0118,AOM_000654;AOM_001290;AOM_001291;AOM_006133,Millet;Millet Bran;Millet Straw;Millet Straw Ensiled Urea Treated,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01199.01,AOM_001197;AOM_003102;AOM_006095;AOM_006259;AOM_006260,Teff Straw Crushed;Teff Straw;Teff Ground;Teff Straw Ensiled Fermented Urea Treated;Teff Straw Dried,5,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01219.01,AOM_000635;AOM_001626;AOM_001647;AOM_002026;AOM_003972;AOM_006053,Cassava Leaves;Cassava Leaves Dried;Cassava Leaves Dried Ground;Cassava Leaves Ground;Cassava Leaves and Twigs;Cassava Leaves and Twigs Dried,6,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,0122,AOM_002233;AOM_006130,Melon Seed Husk;Melon Seed Husk Ground,2,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
CPC_Code_Product,01221,AOM_000600;AOM_003933;AOM_006182;AOM_006183,Watermelon Seed Ground;Watermelon Vine;Watermelon Vine Dried;Watermelon Vine Dried Fermented,4,granularity-review-required,"Determine whether mapping identifies primary feed, component, processed material, or broad source; do not infer concept identity from shared code."
