case_id,concept_id,source_identity,suppress_component_values,suppress_form_values,status,reviewer,review_date,evidence,rationale
SOURCE-BLOOD,AOM_001616,Blood,Blood,,approved,Pete Steward,2026-08-06,docs/decisions/0019-feed-material-source-fallback.md,Blood is feed-material identity in Animal branch; not missing animal-source context encoded as anatomical facet.
SOURCE-BLOOD-DRIED-GROUND-HEATED,AOM_000537,Blood,Blood,,approved,Pete Steward,2026-08-06,docs/decisions/0019-feed-material-source-fallback.md,Blood remains material identity while drying grinding and heating are independent processes.
SOURCE-BLOOD-GROUND,AOM_000536,Blood,Blood,,approved,Pete Steward,2026-08-06,docs/decisions/0019-feed-material-source-fallback.md,Blood remains material identity while grinding is independent process.
SOURCE-SHELL,AOM_000558,Shell,Shell,,approved,Pete Steward,2026-08-06,docs/decisions/0019-feed-material-source-fallback.md,Generic animal shell is material identity in Animal Byproduct branch; source cannot be reconstructed by stripping Shell.
SOURCE-SHELL-GROUND,AOM_006194,Shell,Shell,,approved,Pete Steward,2026-08-06,docs/decisions/0019-feed-material-source-fallback.md,Shell remains material identity while grinding is independent process.
SOURCE-OIL,AOM_001333,Oil,,Oil,approved,Pete Steward,2026-08-06,docs/decisions/0019-feed-material-source-fallback.md,Generic oil is material identity in Crop Product branch; not evidence for physical form.
FEEDIPEDIA-FISH-OIL,AOM_000544,Fish,,Oil,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Fish identifies source while oil is modeled independently as constituent rather than physical form.
FEEDIPEDIA-SUGARCANE-MOLASSES,AOM_000642,Sugarcane,,,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Sugarcane identifies source while molasses characteristics are modeled independently.
FEEDIPEDIA-CASSAVA-STARCH,AOM_000678,Cassava,,,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Cassava identifies source while starch is modeled independently as constituent.
FEEDIPEDIA-MAIZE-STARCH,AOM_001289,Maize,,,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Maize identifies source while starch is modeled independently as constituent.
FEEDIPEDIA-BAMBARA-OFFAL,AOM_003208,Bambara groundnut,,,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Bambara groundnut identifies source while processing by-product role is modeled independently.
FEEDIPEDIA-GRAPE-SEEDS,AOM_003596,Grape,,,approved,Pete Steward,2026-08-06,review/livestock-v10/feedipedia_semantic_review.csv,Grape identifies source while seed anatomy is modeled independently.
