collision_group_id,collision_scope,normalized_label,source_or_pilot_id,source_label_types,source_concept_type,other_concept_id,other_label_types,definition_match,code_mapping_match,recommended_disposition,status,rationale
PILOT-001,pilot-internal,animal survival,era:outcome:236.1,pref,leaf_outcome,era:outcome:indicator:011,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-001,pilot-internal,animal survival,era:outcome:indicator:011,pref,indicator,era:outcome:236.1,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-002,pilot-internal,aquasilviculture,era:practice:d1,pref,leaf_practice,era:practice:practice:016,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-002,pilot-internal,aquasilviculture,era:practice:practice:016,pref,practice,era:practice:d1,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-003,pilot-internal,biochar,era:practice:b28,pref,leaf_practice,era:practice:practice:055,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-003,pilot-internal,biochar,era:practice:practice:055,pref,practice,era:practice:b28,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-004,pilot-internal,biodiversity,era:outcome:203.0,pref,leaf_outcome,era:outcome:indicator:007,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-004,pilot-internal,biodiversity,era:outcome:indicator:007,pref,indicator,era:outcome:203.0,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-005,pilot-internal,biogas,era:practice:c1,pref,leaf_practice,era:practice:practice:032;era:practice:practice:033,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-005,pilot-internal,biogas,era:practice:practice:032,pref,practice,era:practice:c1;era:practice:practice:033,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-005,pilot-internal,biogas,era:practice:practice:033,pref,practice,era:practice:c1;era:practice:practice:032,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-006,pilot-internal,carbon stocks,era:outcome:indicator:016,pref,indicator,era:outcome:subpillar:008,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-006,pilot-internal,carbon stocks,era:outcome:subpillar:008,pref,subpillar,era:outcome:indicator:016,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-007,pilot-internal,conventional tillage,era:practice:h6,pref,leaf_practice,era:practice:practice:061,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-007,pilot-internal,conventional tillage,era:practice:practice:061,pref,practice,era:practice:h6,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-008,pilot-internal,cookstove,era:outcome:subpillar:009,pref,subpillar,era:practice:practice:034;era:practice:practice:035,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-008,pilot-internal,cookstove,era:practice:practice:034,pref,practice,era:outcome:subpillar:009;era:practice:practice:035,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
PILOT-008,pilot-internal,cookstove,era:practice:practice:035,pref,practice,era:outcome:subpillar:009;era:practice:practice:034,,not-assessed,not-applicable,global-identity-review-before-promotion,held,Same normalized English label appears on multiple pilot concepts or generated hierarchy nodes.
