concept_id,preferred_label,ingredient_family,source_identity,feedipedia_url,page_heading,decision,status,reviewer,review_date,rationale
AOM_000538,Bone Ash,Animal Byproduct,bone ash,https://www.feedipedia.org/node/11876,"Bone meal, raw",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_000540,Bone,Animal Byproduct,bone,https://www.feedipedia.org/node/11876,"Bone meal, raw",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_000542,Crustacean,Animal,crustacean,https://www.feedipedia.org/node/8215,Crustacean nutritive values,approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000549,Fish,Animal,fish,https://www.feedipedia.org/node/11685,"Fish meal, type 70 protein",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000557,Oyster Shells,Animal Byproduct,oyster shells,https://www.feedipedia.org/node/736,Seashells and coral,hold_source_warning,held,Pete Steward,2026-08-06,Source carries an under-construction or do-not-quote warning.
AOM_000558,Shell,Animal Byproduct,shell,https://www.feedipedia.org/node/736,Seashells and coral,hold_source_warning,held,Pete Steward,2026-08-06,Source carries an under-construction or do-not-quote warning.
AOM_000571,Maize Offal,Crop Byproduct,maize offal,https://www.feedipedia.org/node/12280,Maize bran,hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000577,Rice Offal,Crop Byproduct,rice offal,https://www.feedipedia.org/node/11637,"Rice bran, fibre 11-20%",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000578,Rice Polish,Crop Byproduct,rice polish,https://www.feedipedia.org/node/12526,"Rice grain, polished",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000589,Wheat Offal,Crop Byproduct,wheat offal,https://www.feedipedia.org/node/12751,Wheat bran,hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000601,Cowpea Haulm,Crop Byproduct,cowpea haulm,https://www.feedipedia.org/node/17446,"Cowpea (Vigna unguiculata), haulms",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000603,Fava Bean Haulm,Crop Byproduct,fava bean haulm,https://www.feedipedia.org/node/19702,"Faba bean (Vicia faba), aerial part, fresh",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000605,Groundnut Hull,Crop Byproduct,groundnut hull,https://www.feedipedia.org/node/12155,Peanut hulls,hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000615,Legume ByProducts,Crop Byproduct,legume byproducts,https://www.feedipedia.org/node/13596,Legume seeds and by-products,hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000628,Oil Plant ByProducts,Crop Byproduct,plant byproducts,https://www.feedipedia.org/content/feeds?category=13598,List of feeds,hold_category_page,held,Pete Steward,2026-08-06,"Feed listing is discovery evidence, not evidence for one material identity."
AOM_000632,Hops,Crop Byproduct,hops,https://www.feedipedia.org/node/12633,"Spent hops (Humulus lupulus), dehydrated",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000644,Sugar Processing ByProducts,Crop Byproduct,sugar processing byproducts,https://www.feedipedia.org/content/feeds?category=13603,List of feeds,hold_category_page,held,Pete Steward,2026-08-06,"Feed listing is discovery evidence, not evidence for one material identity."
AOM_000648,Maize,Crop Product,maize,https://www.feedipedia.org/node/11662,"Maize grain, Subsaharan and East Africa",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000654,Millet,Crop Product,millet,https://www.feedipedia.org/node/11688,"Pearl millet, grain",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_000663,Jackfruit,Crop Product,jackfruit,https://www.feedipedia.org/node/27584,"Jackfruit (Artocarpus heterophyllus), fruit, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000671,Palm Oil,Crop Product,palm,https://www.feedipedia.org/node/15497,"Palm oil mill effluent, decanted",hold_shared_page,held,Pete Steward,2026-08-06,One Feedipedia page maps to multiple AOM concepts; co-reference does not establish synonymy.
AOM_000673,Sunflower,Crop Product,sunflower,https://www.feedipedia.org/node/6225,Sunflower (general),approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000680,Sweet Potato,Crop Product,sweet potato,https://www.feedipedia.org/node/12680,"Sweet potato tubers, dehydrated",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000682,Water Hyacinth,Forage Plants,water hyacinth,https://www.feedipedia.org/node/12735,"Water hyacinth (Eichhornia crassipes), whole plant with roots, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000683,Aquatic Plants,Forage Plants,aquatic plants,https://www.feedipedia.org/content/feeds?category=13587,List of feeds,hold_category_page,held,Pete Steward,2026-08-06,"Feed listing is discovery evidence, not evidence for one material identity."
AOM_000686,Cenchrus ciliaris,Forage Plants,cenchrus ciliaris,https://www.feedipedia.org/node/11899,"Buffel grass (Cenchrus ciliaris), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000689,Pennisetum purpureum,Forage Plants,pennisetum purpureum,https://www.feedipedia.org/node/12365,"Elephant grass (Pennisetum purpureum), aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000701,Cereal and Grass Forages,Forage Plants,cereal and grass forages,https://www.feedipedia.org/content/feeds?category=13593,List of feeds,hold_category_page,held,Pete Steward,2026-08-06,"Feed listing is discovery evidence, not evidence for one material identity."
AOM_000704,Acacia nilotica,Forage Plants,acacia nilotica,https://www.feedipedia.org/node/11794,"Babul (Acacia nilotica), pods, dry",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000705,Acacia sieberiana,Forage Plants,acacia sieberiana,https://www.feedipedia.org/node/12426,"Paperback thorn (Acacia sieberiana), pods, dry",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000706,Acacia tortilis,Forage Plants,acacia tortilis,https://www.feedipedia.org/node/12810,"Umbrella thorn leaves, dry",hold_identity_or_alias_review,held,Pete Steward,2026-08-06,"Preferred identity is not directly present in page heading; alias, taxon, or material-scope review required."
AOM_000710,Leucaena leucocephala,Forage Plants,leucaena leucocephala,https://www.feedipedia.org/node/11650,"Leucaena leucocephala, aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000712,Prosopis juliflora,Forage Plants,prosopis juliflora,https://www.feedipedia.org/node/12329,"Mesquite (Prosopis juliflora), pod husks",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000716,Tithonia diversifolia,Forage Plants,tithonia diversifolia,https://www.feedipedia.org/node/19894,"Mexican sunflower (Tithonia diversifolia), aerial part, dried",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
AOM_000719,Alfalfa,Forage Plants,alfalfa,https://www.feedipedia.org/node/11745,"Alfalfa, aerial part, fresh",approve_source_scope_definition,approved,Pete Steward,2026-08-06,Healthy unshared Feedipedia page directly names AOM preferred identity; definition approves source/material scope only and does not inherit narrower descriptors.
