rule_id,dimension,source_pattern,normalized_value,approval_scope,required_guard,status,reviewer,review_date,evidence,rationale
PROCESS-ALKALI_TREATED,process,alkali treated,Alkali treatment,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-AUTOCLAVED,process,autoclaved,Autoclaving,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-BOILED,process,boiled,Boiling,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-CRACKED,process,cracked,Cracking,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-CRUSHED,process,crushed,Crushing,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-DRIED,process,dried,Drying,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-ENSILED,process,ensiled,Ensiling,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-ENZYME_TREATED,process,enzyme treated,Enzyme treatment,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-EXTRUDED,process,extruded,Extrusion,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-FERMENTED,process,fermented,Fermentation,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-GROUND,process,ground,Grinding,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-HEATED,process,heated,Heating,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-MOLASSES_TREATED,process,molasses treated,Molasses treatment,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-PRESSED,process,pressed,Pressing,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-ROASTED,process,roasted,Roasting,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-SOAKED,process,soaked,Soaking,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-SPROUTED,process,sprouted,Sprouting,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-UREA_TREATED,process,urea treated,Urea treatment,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
PROCESS-WILTED,process,wilted,Wilting,approve-bulk,Assert process independently; never replace source identity or imply sequence beyond source evidence.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Explicit process participle maps to established processing dimension.
COMPONENT-BLOOD,component,blood,Blood,approve-with-guard,Apply only when non-empty source identity remains; otherwise route to expert exception.,approved,Pete Steward,2026-08-05,review/livestock-v6/ingredient_rule_quality_assessment.csv,Component terms generalize across families but may also be standalone material identities.
