concept_id,language,definition,source_column
AOM_000864,en,system of production dedicated to the production of mature animal using immature or submature animals coming from the natural environment.This system may be composed of one or several rearing stage unit,Description
AOM_000886,en,an aquaculture system where water is supplied only for filling the structure and to replace evaporation and accumulating salts,Description
AOM_000888,en,an aquaculture system where animals are reared in a pond,Description
AOM_000887,en,"artificial culture systems for fish larvae with a limited volume of water where many species grow such as phytoplankton, zooplankton and predators (fish larvae)",Description
AOM_000889,en,aquaculture system based on existing water resources without management of water use,Description
AOM_000890,en,"raising fish in a submerged or floating netcage in water (lake, sea, ...)",Description
AOM_000891,en,aquaculture system using a cage floating or maintained at the surface of the water,Description
AOM_000892,en,aquaculture system using a cage totally immersed in the water body,Description
AOM_000856,en,system dedicated to the production of fish mature oocytes whose purpose is for human consumption.This system may be composed of one or several rearing stage unit,Description
AOM_000857,en,rearing system mainly dedicated to the egg production which may be composed of one or several rearing stage unit,Description
AOM_000858,en,"system of production dedicated to eggs, larvae and fry which come from the wild or be produced on a farm.This system may be composed of one or several rearing stage unit",Description
AOM_000859,en,system of production of larvae in a farm from a genitor born in a farm.This system may be composed of one or several rearing stage unit,Description
AOM_000860,en,system of production dedicated to the production of larvae and fry coming from the natural environment.This system may be composed of one or several rearing stage unit,Description
AOM_000861,en,rearing system mainly dedicated to the meat or flesh production which may be composed of one or several rearing stage unit,Description
AOM_000862,en,system of production dedicated to the production of mature animal to broadcast semen or genitor (animal could come from the natural environment or be produced in a farm).This system may be composed of one or several rearing stage unit,Description
AOM_000863,en,system of production dedicated to the production of sexually mature animal using juvenile that come from a farm.This system may be composed of one or several rearing stage unit,Description
AOM_000865,en,any characteristic of terrestrial unit of production related to a specific life stage rearing,Description
AOM_000866,en,unit dedicated to the production of mature animal to produce semen or reproducers (animal could come from the natural environment or produced in a farm),Description
AOM_000867,en,unit dedicated to the production of animal in growing phase coming from juvenile stage or pregrowing stage. The animal comes from the natural environment or produced in a farm. Newborn->Juvenile->Pregrowout->Grower->Finisher.,Description
AOM_000868,en,"unit dedicated to the production of animal in growing-finishing phase until the slaughtering, which come from the natural environment or produced in a farm.Newborn->Juvenile->Pregrowout->Grower->Finisher",Description
AOM_000869,en,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal comes from the natural environment or produced in a farm.Newborn->Juvenile->Pregrowout->Grower->Finisher,Description
AOM_000870,en,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal is initially produced on a farm.Newborn->Juvenile->Pregrowout->Grower->Finisher,Description
AOM_000871,en,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal is originating from the natural environment.Newborn->Juvenile->Pregrowout->Grower->Finisher,Description
AOM_000872,en,"unit dedicated to the production of newborn animal before weaning (mammal) or until hatching (fish, chicken).Newborn->Juvenile->Pregrowout->Grower->Finisher",Description
AOM_000873,en,unit dedicated to the production of a sexually immature animal and which comes from the natural environment or is produced in a farm (juvenile animal) and can be transfered in growing unit.Newborn->Juvenile->Pregrowout->Grower->Finisher,Description
AOM_000894,en,system of farming which rears only one type of animal species in the same production unit,Description
