"evidence_id","authority","title","url","evidence_class","supported_claim","limitation","access_date"
"FOODON-TRANSFORMATION","FoodOn","Food transformation process","https://foodon.org/food-facets/food-transformation-process/","ontology-design","FoodOn represents transformation processes with inputs and outputs; processes add or remove qualities; ordered process applications must not be collapsed into contradictory parallel assertions.","FoodOn concerns human and domesticated-animal food broadly and does not prescribe ERA property names or classify every AOM feed process.","2026-08-18"
"FOODON-STRUCTURE","FoodOn","FoodOn structure","https://foodon.org/design/foodon-structure/","ontology-design","FoodOn places transformation processes under process and explicitly states that processes may be multi-purpose or tied to different process objectives.","FoodOn acknowledges purpose variation but its public hierarchy does not provide ERA's proposed four-layer relation model directly.","2026-08-18"
"FOODON-PROCESS-TABLE","FoodOn","FoodOn Robot Process source table","https://docs.google.com/spreadsheets/d/17Bh-mKIzutH7q4_7gXMbUScpyOF8fDOCvUBk-dHH9BM/edit","ontology-source","FoodOn distinguishes component separation, physical or chemical modification, microbial or enzymatic modification, forming, preservation, fat removal, water removal, component addition, fermentation, extraction, hydrolysis, distillation, and rendering; many processes have multiple parents.","Editorial source includes LanguaL imports and some classification-only groupings; it mixes mechanism, operation, objective, and preservation in one class hierarchy and should guide vocabulary comparison rather than be copied wholesale.","2026-08-18"
"EU-FEED-PROCESSES","European Commission","Consolidated Regulation (EU) No 68/2013 Part B glossary of processes","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02013R0068-20220724","regulatory-glossary","Feed-specific process definitions distinguish direct operations and results including size reduction, component removal, concentration, detoxification, distillation, drying, ensiling, extraction, fermentation, grinding, hydrolysis, pressing, and soaking.","Regulatory catalogue supports naming and process scope in EU feed commerce; definitions often combine mechanism and objective and do not establish universal nutritional benefit.","2026-08-18"
"OBI-CORE","Ontology for Biomedical Investigations","Core classes","https://obi-ontology.org/docs/core-classes/","ontology-design","OBI separates planned process, plan specification, material inputs and outputs, and resulting data, supporting separation of process type, intention, execution, and measured outcome.","OBI is investigation-focused rather than feed-processing authority and is used only as modelling precedent.","2026-08-18"
"FEEDIPEDIA-POULTRY-MEAL","Feedipedia","Poultry by-product meal","https://www.feedipedia.org/node/214","feed-authority","Poultry by-product meal production can include stabilization, rendering, cooking or sterilization, drying, fat extraction, and grinding; rendering is a multi-stage process rather than a synonym for one objective.","Evidence supports poultry by-product meal and related rendering practice; it cannot establish every rendering route or output globally.","2026-08-18"
"FEEDIPEDIA-POULTRY-LITTER","Feedipedia","Manure and poultry litter","https://www.feedipedia.org/node/66","feed-authority","Deep stacking appears in poultry-litter treatment context and is associated with material-specific aflatoxin reduction; drying, ensiling, heating, and grinding are separately described.","Datasheet is pending revision and cites older evidence; it does not define deep stacking as one general mechanism or universal feed treatment.","2026-08-18"
"LOCAL-GRAPH","ERA AOM","AOM Livestock staging graph","dist/livestock-staging/nodes.csv;dist/livestock-staging/edges.csv","governed-repository-evidence","Provides current process labels, statuses, parent relations, complete descendant closure, and direct-child counts.","Current generated graph is review subject and existing placement is not acceptance evidence.","2026-08-18"
"LOCAL-BINDINGS","ERA AOM","Release feed-material facet bindings","dist/releases/2026.1-rc.1/feed-material-facets.csv","governed-repository-evidence","Provides every current material-to-processingMethod assertion and concept usage count used to assess migration impact.","Bindings record governed current semantics but do not independently prove process mechanism, purpose, or benefit.","2026-08-18"
"LOCAL-GOVERNANCE","ERA AOM","Livestock identifier registry and implementation register","data/livestock-staging/livestock_id_registry.csv;review/livestock-v30/feed_taxonomy_implementation_register.csv","governed-repository-evidence","Records Brewhouse processing as retired before publication because it is upstream production provenance rather than feed treatment.","Decision is local precedent and does not automatically classify unrelated workflows.","2026-08-18"
"ADR-0042","ERA AOM","ADR 0042 Feed-process hierarchy and material-state axes","docs/decisions/0042-feed-process-and-material-state-axes.md","accepted-decision","Establishes one canonical feed-process root, initial mechanism and objective polyhierarchy, separate material-state axes, and non-universal process-result relations.","Initial objective structure remains incomplete and is superseded where ADR 0047 makes a more precise distinction.","2026-08-18"
"ADR-0044","ERA AOM","ADR 0044 Feed taxonomy axis reclassification","docs/decisions/0044-feed-taxonomy-axis-reclassification.md","accepted-decision","Separates material identity, product role, component, process, composition, and provenance; retires Brewhouse processing from feed-treatment use and retains component separation as objective grouping.","ADR 0044 did not complete full process-purpose, benefit, or observed-effect modelling.","2026-08-18"
