cluster_id,normalized_signature,concept_ids,preferred_labels,member_count,highest_confidence,recommended_action,status
INGCLUSTER-0001,bambara groundnut||||,AOM_003207;AOM_003208,Bambara Groundnut;Bambara Groundnut Offal,2,high,review_as_family; never merge from signature alone,resolved-by-approved-model
INGCLUSTER-0002,bothriochloa||Drying||,AOM_001459;AOM_001898,Bothriochloa dried;Bothriochloa dried,2,high,review_as_family; never merge from signature alone,resolved-by-approved-deprecation
INGCLUSTER-0003,cotton|Seed|||,AOM_001312;AOM_003973,Cotton Seed;Cotton Seed,2,high,review_as_family; never merge from signature alone,held-by-approved-identity-review
INGCLUSTER-0004,fish||||,AOM_000544;AOM_000549,Fish;Fish Oil,2,high,review_as_family; never merge from signature alone,resolved-by-approved-model
INGCLUSTER-0005,maize|Grain|Grinding||,AOM_001324;AOM_001679,Ground whole-grain maize;Maize Grain Ground,2,medium_or_low,review_as_family; never merge from signature alone,resolved-by-approved-model
INGCLUSTER-0006,maize|Grain|||,AOM_000649;AOM_001313,Maize Grain;Whole-grain maize,2,medium_or_low,review_as_family; never merge from signature alone,resolved-by-approved-model
INGCLUSTER-0007,maize||||,AOM_000648;AOM_001289,Maize;Maize Starch,2,high,review_as_family; never merge from signature alone,resolved-by-approved-model
INGCLUSTER-0008,milk||||,AOM_000555;AOM_000556,Milk;Whole Milk,2,medium_or_low,review_as_family; never merge from signature alone,resolved-by-approved-model
INGCLUSTER-0009,rice|Grain|Grinding||,AOM_000656;AOM_006156,Ground whole-grain rice;Rice Grain Ground,2,medium_or_low,review_as_family; never merge from signature alone,resolved-by-approved-model
INGCLUSTER-0010,wheat|Grain|Grinding||,AOM_000660;AOM_002017,Ground whole-grain wheat;Wheat Grain Ground,2,medium_or_low,review_as_family; never merge from signature alone,resolved-by-approved-model
