feed_material_id,feed_material_label,target_property,target_concept_id,target_label,review_axis,recommended_assertion_action,review_status,current_status,current_evidence,current_rationale,reviewer,review_date
AOM_000642,Sugarcane Molasses,aom:bulkConsistency,AOM_101077,Liquid consistency,bulk-consistency,retain assertion; apply approved target label or hierarchy changes only,approved,approved,review/livestock-v10/feedipedia_semantic_review.csv,Molasses is governed as liquid bulk consistency independently of source and role.,Codex,2026-08-21
AOM_001167,Opuntia ficus indica Juice,aom:bulkConsistency,AOM_101077,Liquid consistency,bulk-consistency,retain assertion; apply approved target label or hierarchy changes only,approved,approved,http://purl.obolibrary.org/obo/NCBITaxon_371859;wfo-0000385761,Explicit descriptor “juice” mapped through hard-tail decision AOM_001167; assertion 2.,Codex,2026-08-21
AOM_001482,Sugar Beet Molasses,aom:bulkConsistency,AOM_101077,Liquid consistency,bulk-consistency,retain assertion; apply approved target label or hierarchy changes only,approved,approved,https://www.feedipedia.org/node/12340,Explicit descriptor “molasses” mapped through hard-tail decision AOM_001482; assertion 3.,Codex,2026-08-21
AOM_003297,Maize Steep Liquor,aom:bulkConsistency,AOM_101077,Liquid consistency,bulk-consistency,retain assertion; apply approved target label or hierarchy changes only,approved,approved,0112;http://purl.obolibrary.org/obo/NCBITaxon_4577;wfo-0000907754,Explicit descriptor “liquor” mapped through hard-tail decision AOM_003297; assertion 2.,Codex,2026-08-21
AOM_003917,Cassava Vinasse,aom:bulkConsistency,AOM_101077,Liquid consistency,bulk-consistency,retain assertion; apply approved target label or hierarchy changes only,approved,approved,01520;http://purl.obolibrary.org/obo/NCBITaxon_3983;wfo-0000235507,Explicit descriptor “vinasse” mapped through hard-tail decision AOM_003917; assertion 3.,Codex,2026-08-21
AOM_006003,Molasses,aom:bulkConsistency,AOM_101077,Liquid consistency,bulk-consistency,retain assertion; apply approved target label or hierarchy changes only,approved,approved,23540;http://purl.obolibrary.org/obo/NCBITaxon_4547,Explicit descriptor “molasses” mapped through hard-tail decision AOM_006003; assertion 1.,Codex,2026-08-21
AOM_001421,Saccharomyces cerevisiae Slurry,aom:bulkConsistency,AOM_101118,Slurry consistency,bulk-consistency,retain assertion; apply approved target label or hierarchy changes only,approved,approved,http://purl.obolibrary.org/obo/NCBITaxon_4932,Explicit descriptor “slurry” mapped through hard-tail decision AOM_001421; assertion 1.,Codex,2026-08-21
AOM_001326,Whole-crop maize silage,aom:componentRetentionState,AOM_101086,Whole-crop composition,component-retention,retain assertion; apply approved target label or hierarchy changes only,approved,approved,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md;docs/decisions/0048-chemical-identity-composition-and-component-model.md,Positive component retention is independent of measured chemical composition.,Codex,2026-08-21
AOM_000656,Ground whole-grain rice,aom:componentRetentionState,AOM_101110,Whole-grain composition,component-retention,retain assertion; apply approved target label or hierarchy changes only,approved,approved,docs/decisions/0018-whole-grain-integrity.md;docs/decisions/0048-chemical-identity-composition-and-component-model.md,Positive component retention is independent of measured chemical composition.,Codex,2026-08-21
AOM_000660,Ground whole-grain wheat,aom:componentRetentionState,AOM_101110,Whole-grain composition,component-retention,retain assertion; apply approved target label or hierarchy changes only,approved,approved,docs/decisions/0018-whole-grain-integrity.md;docs/decisions/0048-chemical-identity-composition-and-component-model.md,Positive component retention is independent of measured chemical composition.,Codex,2026-08-21
