source_name,accepted_name,rank,legacy_ncbi_taxon_id,proposed_ncbi_taxon_id,decision_action,status,reviewer,review_date,evidence,rationale
Manihot esculenta,Manihot esculenta,species,NCBITaxon_3983,NCBITaxon_3983,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3983,Exact species candidate; some material records lack inherited legacy mapping but source-name decision remains consistent.
Hordeum vulgare,Hordeum vulgare,species,NCBITaxon_4513,NCBITaxon_4513,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4513,Exact species candidate.
Opuntia ficus indica,Opuntia ficus-indica,species,NCBITaxon_371859,NCBITaxon_371859,accept_as_orthographic_variant,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=371859,Preserve source spelling and bind to current hyphenated NCBI name at unchanged identifier.
Sesamum indicum,Sesamum indicum,species,NCBITaxon_4182,NCBITaxon_4182,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4182,Exact species candidate.
Gliciridia sepium,Gliricidia sepium,species,NCBITaxon_167663,NCBITaxon_167663,accept_as_misspelling,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=167663,Preserve misspelled source label and bind to corrected current name at unchanged identifier.
Ipomoea batatas,Ipomoea batatas,species,NCBITaxon_4120,NCBITaxon_4120,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4120,Exact species candidate.
Pennisetum clandestinum,Cenchrus clandestinus,species,NCBITaxon_173850,NCBITaxon_173850,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=173850,Preserve source synonym and use current accepted name at unchanged identifier.
Chloris gayana,Chloris gayana,species,NCBITaxon_110876,NCBITaxon_110876,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=110876,Exact species candidate.
Vigna unguiculata,Vigna unguiculata,species,NCBITaxon_3917,NCBITaxon_3917,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3917,Exact species candidate.
Jatropha curcas,Jatropha curcas,species,NCBITaxon_180498,NCBITaxon_180498,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=180498,Exact species candidate.
Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,NCBITaxon_4932,NCBITaxon_4932,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4932,Exact fungal species candidate; no WFO mapping applies.
Moringa oleifera,Moringa oleifera,species,NCBITaxon_3735,NCBITaxon_3735,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3735,Exact species candidate.
Mangifera indica,Mangifera indica,species,NCBITaxon_29780,NCBITaxon_29780,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29780,Exact species candidate.
Theba pisana,Theba pisana,species,NCBITaxon_2315439,NCBITaxon_145622,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=145622,Legacy target identifies Lissachatina fulica and must be replaced by Theba pisana species ID.
Phaseolus vulgaris,Phaseolus vulgaris,species,NCBITaxon_3885,NCBITaxon_3885,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3885,Exact species candidate.
Theobroma cacao,Theobroma cacao,species,NCBITaxon_3641,NCBITaxon_3641,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3641,Exact species candidate.
Telfairia occidentalis,Telfairia occidentalis,species,NCBITaxon_383670,NCBITaxon_383670,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=383670,Exact species candidate.
Solanum tuberosum,Solanum tuberosum,species,NCBITaxon_4113,NCBITaxon_4113,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4113,Exact species candidate.
Atriplex nummularia,Atriplex nummularia,species,NCBITaxon_3553,NCBITaxon_3553,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3553,Exact species candidate.
Desmodium intortum,Desmodium intortum,species,NCBITaxon_556506,NCBITaxon_556506,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=556506,Exact species candidate.
Psophocarpus tetragonolobus,Psophocarpus tetragonolobus,species,NCBITaxon_3847,NCBITaxon_3891,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3891,Legacy target identifies Glycine max and must be replaced by winged bean species ID.
