concept_id,preferred_label,review_axis,disposition,status,evidence,rationale
AOM_101020,Ingredient presentation forms,presentation_form,retained_root,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Presentation axis excludes moisture and bulk consistency.
AOM_101049,Block form,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Block is shaped presentation.
AOM_101050,Lick form,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Lick is shaped presentation.
AOM_101051,Powder form,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Powder is particle presentation; exact threshold remains unspecified.
AOM_101052,Cake form,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,"Cake is coherent presentation, often but not universally produced by pressing."
AOM_101053,Flake form,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Flake is shaped presentation.
AOM_101054,Dried moisture condition,moisture_condition,moved_axis,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,"Dried describes moisture condition, not shape."
AOM_101075,Mixed presentation,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Mixed describes presentation; composition remains separate.
AOM_101076,Whole form,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Whole describes intact presentation; material integrity remains independently governed.
AOM_101077,Liquid consistency,bulk_consistency,moved_axis,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Liquid describes bulk flow consistency.
AOM_101078,Pulp consistency,bulk_consistency,moved_axis,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Pulp describes moist fibrous or cellular bulk consistency.
AOM_101108,Pellet form,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Pellet is shaped presentation.
AOM_101118,Slurry consistency,bulk_consistency,moved_axis,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Slurry requires dispersed solids in a liquid continuous phase.
AOM_101125,Comminuted particle form,presentation_form,renamed_scope,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Comminuted particles do not entail dry solid bulk state.
AOM_101126,Meal form,presentation_form,retained_value,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Meal does not globally entail drying.
AOM_101132,Ingredient bulk consistencies,bulk_consistency,new_root,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Separates bulk flow and dispersion semantics.
AOM_101133,Ingredient moisture conditions,moisture_condition,new_root,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Separates moisture semantics.
AOM_001510,Fresh moisture condition,moisture_condition,reclassified_legacy,approved,docs/decisions/0042-feed-process-and-material-state-axes.md,Fresh is condition rather than dehydration process.
