concept_id,preferred_label,review_status,implementation_status,review_axis,recommended_disposition,decision_record,method,reviewer,implementation_date,evidence_ids,rationale
AOM_101146,Feed chemical entities,approved,implemented,chemical-identity,retain-and-rename,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,Chemical identity answers what entity is present; composition answers how much is present.
AOM_101023,Primary chemical constituents,approved,implemented,chemical-identity,retain-and-rename,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,"Role belongs to relation between material and entity, not intrinsically to target concept."
AOM_101147,Chemical substances,approved,implemented,chemical-identity,retain-grouping,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE,Chemical substance is narrower than chemical entity but not every mixture or constituent category meets its ChEBI definition.
AOM_000746,Chromium Oxide,approved,implemented,chemical-identity,retain-identity,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current concept identifies chemical substance or substance group independently of product use.
AOM_000809,Essential Fatty Acid,approved,implemented,chemical-identity,retain-reclassify-identity,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.
AOM_001571,Protein,approved,implemented,chemical-identity,retain-reclassify-identity,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.
AOM_001577,Carbohydrate,approved,implemented,chemical-identity,retain-reclassify-identity,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.
AOM_001865,Free Gossypol,approved,implemented,chemical-identity,retain-reclassify-identity,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.
AOM_006389,Organic Acid,approved,implemented,chemical-identity,retain-identity,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current concept identifies chemical substance or substance group independently of product use.
AOM_101064,Gluten constituent,held,held-no-semantic-change,chemical-identity,hold-exact-identity-and-label,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.
AOM_101065,Starch constituent,held,held-no-semantic-change,chemical-identity,hold-exact-identity-and-label,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.
AOM_101066,Fat constituent,held,held-no-semantic-change,chemical-identity,hold-exact-identity-and-label,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.
AOM_101067,Essential-oil constituent,held,held-no-semantic-change,chemical-identity,hold-exact-identity-and-label,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.
AOM_101080,Ash constituent,held,held-no-semantic-change,chemical-identity,hold-exact-identity-and-label,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.
AOM_101081,Oil constituent,held,held-no-semantic-change,chemical-identity,hold-exact-identity-and-label,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current generic definition states only relation use and does not establish chemical identity; exact mapping and collision review remain necessary.
AOM_101120,Protein constituent,approved,deprecated-with-replacement,chemical-identity,deprecate-after-migration,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Existing Protein identity was retained and semantically typed as chemical constituent; property context does not justify duplicate identity.
AOM_000808,Fumaric Acid,approved,implemented,chemical-identity,retain-identity,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE,Current concept identifies chemical substance or substance group independently of product use.
AOM_001578,Dextrin,approved,implemented,chemical-identity,retain-reclassify-identity,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;CHEBI-ENTITY;CHEBI-SUBSTANCE;FOODON-REPO,Legacy definition records former product branch while current semantic classification treats concept as chemical constituent.
AOM_000196,Feed Chemical Composition,approved,implemented,composition,retain-and-rename,docs/decisions/0048-chemical-identity-composition-and-component-model.md,docs/methods/component-chemical-identity-governance.md,Pete Steward,2026-08-20,LOCAL-GRAPH;AOM-SCHEMA;CHEBI-ENTITY,Current definition already describes measurable proportions but label obscures characteristic-level semantics.
