case_id,priority,top_branch,review_batch,candidate_parent_label,candidate_parent_path,candidate_depth,affected_child_count,affected_child_ids,sample_child_labels,nearest_explicit_ancestor_id,nearest_explicit_ancestor_path,same_label_existing_ids,review_question,decision,approved_parent_id,reviewer,review_date,evidence,rationale
PARENT-001,normal,Farming System,Farming System / livestock system,reproducers,Farming System/livestock system/aquatic/production orientation/reproducers,5,1,AOM_000864,wild caught reproducers,AOM_000847,Farming System/livestock system,AOM_000862,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-002,normal,Farming System,Farming System / livestock system,rearing or housing structure,Farming System/livestock system/terrestrial system/living environment/rearing or housing structure,5,1,AOM_003026,production unit structure,AOM_000900,Farming System/livestock system/terrestrial system/living environment,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-003,normal,Farming System,Farming System / livestock system,barn rearing system,Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/larger space/barn rearing system,9,1,AOM_000912,cubicle house,AOM_003027,Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure,AOM_000911,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-004,normal,Farming System,Farming System / livestock system,reproducers production rearing system,Farming System/livestock system/terrestrial system/production orientation/reproducers production rearing system,5,1,AOM_000854,domesticated reproducers production rearing system,AOM_000850,Farming System/livestock system/terrestrial system/production orientation,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-005,normal,Management,Management / Livestock Management,Aquasilviculture,Management/Livestock Management/Aquasilviculture,3,1,AOM_000170,Aquasilviculture,AOM_000107,Management/Livestock Management,AOM_000170,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-008,normal,Management,Management / Livestock Management,Shrimp,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Crustacean/Shrimp,8,2,AOM_001112;AOM_001923,Shrimp Ground; Shrimp Heads,AOM_000542,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Crustacean,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-009,normal,Management,Management / Livestock Management,Brown Fish,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Brown Fish,8,1,AOM_002240,Brown Fish Ground,AOM_000549,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-010,normal,Management,Management / Livestock Management,Danish Fish,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Danish Fish,8,1,AOM_002005,Danish Fish Ground,AOM_000549,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-011,normal,Management,Management / Livestock Management,Menhaden,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Menhaden,8,1,AOM_001926,Menhaden Ground,AOM_000549,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-012,normal,Management,Management / Livestock Management,Rainbow Trout Viscera,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Rainbow Trout/Rainbow Trout Viscera,9,1,AOM_001928,Rainbow Trout Viscera De-oiled Ensiled,AOM_001927,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Fish/Rainbow Trout,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-013,normal,Management,Management / Livestock Management,Housefly Maggot,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect/Housefly Maggot,8,1,AOM_001932,Housefly Maggot Dried Ground,AOM_000554,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-014,normal,Management,Management / Livestock Management,Oryctes rhinoceros,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect/Oryctes rhinoceros,8,1,AOM_001108,Oryctes rhinoceros Ground,AOM_000554,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Insect,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-015,normal,Management,Management / Livestock Management,Chicken,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Poultry/Chicken,8,1,AOM_001096,Chicken Ground,AOM_000559,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal,AOM_000025;AOM_001039,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-016,normal,Management,Management / Livestock Management,Chicken Offal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Poultry/Chicken/Chicken Offal,9,1,AOM_001938,Chicken Offal Dried Ground,AOM_000559,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-017,medium,Management,Management / Livestock Management,Animal Byproduct,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct,6,5,AOM_000540;AOM_000558;AOM_001106;AOM_002078;AOM_003206,Bone; Shell; Meat and Bone; Egg; Poultry byproduct,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-018,normal,Management,Management / Livestock Management,Digestive ByProduct,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Digestive ByProduct,7,1,AOM_001811,Rumen Contents,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-019,normal,Management,Management / Livestock Management,Fat,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fat,7,1,AOM_002080,Lard,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-020,normal,Management,Management / Livestock Management,Feather,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Feather,7,2,AOM_001099;AOM_002009,Feather Ground; Feather Boiled Dried Ground,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-021,normal,Management,Management / Livestock Management,Fish,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Fish,7,2,AOM_000545;AOM_002192,Fish Processing Waste; Fish Offal,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,AOM_000034;AOM_000549;AOM_001048,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-022,normal,Management,Management / Livestock Management,Hydrolysate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Hydrolysate,7,2,AOM_002081;AOM_002082,Mixed Marine Hydrolysate; Shrimp Hydrolysate,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-023,normal,Management,Management / Livestock Management,Cattle,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Cattle,7,1,AOM_001095,Cattle Manure,AOM_000561,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures,AOM_000015,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-024,normal,Management,Management / Livestock Management,Chicken,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Chicken,7,1,AOM_006008,Chicken Manure,AOM_000561,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures,AOM_000025;AOM_001039,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-025,normal,Management,Management / Livestock Management,Pig,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Pig,7,1,AOM_001097,Pig Manure,AOM_000561,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures,AOM_000017;AOM_001017,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-026,normal,Management,Management / Livestock Management,Poultry,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures/Poultry,7,1,AOM_001146,Poultry Litter,AOM_000561,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-027,normal,Management,Management / Livestock Management,Carob,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cash Crops ByProducts/Carob/Carob,9,1,AOM_003894,Carob Ground,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-028,normal,Management,Management / Livestock Management,Cocoa,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cash Crops ByProducts/Cocoa,8,2,AOM_000617;AOM_001183,Cocoa Bean Shell; Cocoa Pods Husk,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-029,normal,Management,Management / Livestock Management,Coffee,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cash Crops ByProducts/Coffee,8,2,AOM_001186;AOM_003546,Coffee Leaves; Coffee Pulp,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-030,normal,Management,Management / Livestock Management,Khat,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cash Crops ByProducts/Khat,8,1,AOM_003646,Khat Leftover,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
