case_id,subject_id,relation_property,role_concept_id,role_class,status,reviewer,review_date,evidence,rationale
FEED-TAXONOMY-BINDER-AOM_000743,AOM_000743,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_000744,AOM_000744,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001373,AOM_001373,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001374,AOM_001374,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001423,AOM_001423,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001486,AOM_001486,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001490,AOM_001490,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001503,AOM_001503,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001504,AOM_001504,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001826,AOM_001826,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_001994,AOM_001994,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_002070,AOM_002070,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_002071,AOM_002071,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-BINDER-AOM_002091,AOM_002091,aom:functionalRole,AOM_101079,aom:FeedFunctionalRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Legacy Binder placement supports functional role while bearer product kind remains held where item evidence is insufficient.
FEED-TAXONOMY-MARKER-AOM_000746,AOM_000746,aom:experimentalRole,AOM_101151,aom:ExperimentalFeedRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Digestibility-marker use is experimental role independent of chromium-oxide chemical identity and processing state.
FEED-TAXONOMY-MARKER-AOM_002072,AOM_002072,aom:experimentalRole,AOM_101151,aom:ExperimentalFeedRole,approved,Pete Steward,2026-08-12,era_master_sheet.xlsx#AOM;docs/decisions/0044-feed-taxonomy-axis-reclassification.md,Digestibility-marker use is experimental role independent of chromium-oxide chemical identity and processing state.
