concept_id,preferred_label,review_axis,depth_from_axis_root,current_parent_ids,current_parent_labels,direct_child_count,descendant_count,semantic_type,affected_assertion_count,distinct_material_count,review_role,review_status,current_definition
AOM_101132,Feed bulk consistencies,bulk-consistency,0,AOM_000328,Feed Characteristic,3,3,,0,0,bulk-consistency-axis-root,proposed,Bulk flow and dispersion consistencies applicable to feed materials or formulated feeds independently of particle presentation and moisture condition.
AOM_101077,Liquid consistency,bulk-consistency,1,AOM_101132,Feed bulk consistencies,0,0,,6,6,bulk-consistency-value,proposed,Flowing bulk consistency without a governed requirement for dispersed solid particles.
AOM_101078,Pulp consistency,bulk-consistency,1,AOM_101132,Feed bulk consistencies,0,0,,0,0,bulk-consistency-value,proposed,"Moist fibrous or cellular bulk consistency, commonly semisolid; source and production process remain independently represented."
AOM_101118,Slurry consistency,bulk-consistency,1,AOM_101132,Feed bulk consistencies,0,0,,1,1,bulk-consistency-value,proposed,Bulk consistency in which solid particles are dispersed in a liquid continuous phase; not equivalent to an unqualified liquid.
AOM_101115,Native-component retention states,component-retention,0,AOM_000328,Feed Characteristic,4,4,,0,0,component-retention-axis-root,proposed,Positive native-component retention or integrity states represented independently of measured chemical composition.
AOM_101134,Native-fat-retained composition,component-retention,1,AOM_101115,Native-component retention states,0,0,,2,2,native-fat-retention,proposed,Component-retention state indicating positive retention of native fat; no measured concentration or inferred absence of defatting is asserted.
AOM_101086,Whole-crop composition,component-retention,1,AOM_101115,Native-component retention states,0,0,,1,1,whole-crop-retention,proposed,Component-retention state indicating retention of harvested whole-crop scope rather than one selected component.
AOM_101110,Whole-grain composition,component-retention,1,AOM_101115,Native-component retention states,0,0,,4,4,whole-grain-retention,proposed,"Component-retention state in which bran, plant embryo, and endosperm remain in characteristic proportions independently of particle-size reduction."
AOM_101116,Whole-milk composition,component-retention,1,AOM_101115,Native-component retention states,0,0,,1,1,whole-milk-state,proposed,Governed composition state value used for feed-material semantics.
AOM_101080,Ash constituent,dual-use-constituent,0,AOM_101023,Chemical constituent categories,0,0,,1,1,analytical-residue-misclassified-as-constituent,proposed,Governed chemical constituent value used for ingredient-component semantics.
AOM_001577,Carbohydrate,dual-use-constituent,0,AOM_101146,Feed-related chemical entities,0,0,aom:ChemicalConstituent,0,0,chemical-identity,proposed,Chemical-entity category for carbohydrates represented as constituents of feed materials; measured carbohydrate content and feed-material use require separate assertions.
AOM_101067,Essential-oil constituent,dual-use-constituent,0,AOM_101023,Chemical constituent categories,0,0,,0,0,chemical-mixture-identity,proposed,Governed chemical constituent value used for ingredient-component semantics.
AOM_101066,Fat constituent,dual-use-constituent,0,AOM_101023,Chemical constituent categories,0,0,,0,0,contextual-lipid-constituent,proposed,Governed chemical constituent value used for ingredient-component semantics.
AOM_101064,Gluten constituent,dual-use-constituent,0,AOM_101023,Chemical constituent categories,0,0,,0,0,heterogeneous-protein-fraction,held,Governed chemical constituent value used for ingredient-component semantics.
AOM_101081,Oil constituent,dual-use-constituent,0,AOM_101023,Chemical constituent categories,0,0,,17,17,contextual-lipid-constituent,proposed,Governed chemical constituent value used for ingredient-component semantics.
AOM_001571,Protein,dual-use-constituent,0,AOM_101146,Feed-related chemical entities,0,0,aom:ChemicalConstituent,1,1,chemical-identity,proposed,Chemical-entity category for proteins represented as constituents of feed materials; measured protein content and feed-material use require separate assertions.
AOM_101120,Protein constituent,dual-use-constituent,0,,,0,0,,0,0,deprecated-duplicate,proposed,"Protein represented as a primary chemical constituent of a feed material, not as an ingredient component of a formulated feed."
AOM_101065,Starch constituent,dual-use-constituent,0,AOM_101023,Chemical constituent categories,0,0,,4,4,chemical-mixture-identity,proposed,Governed chemical constituent value used for ingredient-component semantics.
AOM_101133,Feed moisture conditions,moisture-condition,0,AOM_000328,Feed Characteristic,2,2,,0,0,moisture-condition-axis-root,proposed,Qualitative moisture conditions applicable to feed materials or formulated feeds independently of particle presentation and bulk consistency.
AOM_101054,Dried moisture condition,moisture-condition,1,AOM_101133,Feed moisture conditions,0,0,,400,400,moisture-condition-value,proposed,Moisture-reduced condition supported by an explicit drying process or material-specific evidence; no presentation form is implied.
AOM_001510,Fresh moisture condition,moisture-condition,1,AOM_101133,Feed moisture conditions,0,0,,0,0,moisture-condition-value,proposed,A qualitative condition indicating material presented as fresh rather than governed as moisture-removed; exact moisture content remains unspecified.
AOM_000326,Feed Physical Characteristic,physical-characteristic,0,AOM_000328,Feed Characteristic,4,4,,0,0,measured-physical-root,proposed,"any measurable characteristic related to the physical properties of feed (or diet) e.g. density, floatability, breakability,etc."
AOM_000322,floatability,physical-characteristic,1,AOM_000326,Feed Physical Characteristic,0,0,,0,0,measured-physical-characteristic,proposed,any measurable or observable characteristic related to the sinking or floating comportement of a pellet in water
AOM_000323,particle size,physical-characteristic,1,AOM_000326,Feed Physical Characteristic,0,0,,0,0,measured-physical-characteristic,proposed,any measurable or observable characteristic related to the size of food (or diet) physical elements
AOM_000324,physical form,physical-characteristic,1,AOM_000326,Feed Physical Characteristic,0,0,,0,0,legacy-conflated-characteristic,proposed,"any measurable or observable characteristic related to the physical form under which food (or diet) is given to the animal e.g. dry, wet, moist pellets, paste."
AOM_000325,water retention capacity,physical-characteristic,1,AOM_000326,Feed Physical Characteristic,0,0,,0,0,measured-physical-characteristic,proposed,any measurable or observable characteristic related to the capacity of food (or diet) to retain water
AOM_101020,Feed presentation forms,presentation-form,0,AOM_000328,Feed Characteristic,8,10,,0,0,presentation-axis-root,proposed,Shapes and particle presentations applicable to feed materials or formulated feeds independently of moisture and bulk consistency.
AOM_101049,Block form,presentation-form,1,AOM_101020,Feed presentation forms,0,0,,3,3,presentation-form-value,proposed,Governed presentation form value used for ingredient-component semantics.
AOM_101052,Cake form,presentation-form,1,AOM_101020,Feed presentation forms,0,0,,9,9,presentation-form-value,proposed,Governed presentation form value used for ingredient-component semantics.
AOM_101125,Comminuted particle form,presentation-form,1,AOM_101020,Feed presentation forms,2,2,,338,338,particle-presentation-grouping,proposed,"Particle presentation produced by size reduction; bulk consistency, moisture condition, and particle-size threshold remain unspecified."
AOM_101053,Flake form,presentation-form,1,AOM_101020,Feed presentation forms,0,0,,0,0,presentation-form-value,proposed,Governed presentation form value used for ingredient-component semantics.
AOM_101076,Intact presentation,presentation-form,1,AOM_101020,Feed presentation forms,0,0,,0,0,presentation-form-value,proposed,Presentation in which a feed item remains visibly intact; whole-crop or whole-grain integrity is not implied.
AOM_101050,Lick form,presentation-form,1,AOM_101020,Feed presentation forms,0,0,,0,0,delivery-mode-misclassified-as-form,held,Governed presentation form value used for ingredient-component semantics.
AOM_101075,Mixed presentation,presentation-form,1,AOM_101020,Feed presentation forms,0,0,,3,3,presentation-form-value,proposed,Governed presentation form value used for ingredient-component semantics.
AOM_101108,Pellet form,presentation-form,1,AOM_101020,Feed presentation forms,0,0,,2,2,presentation-form-value,proposed,Governed presentation form value used for feed-material semantics.
AOM_101126,Meal form,presentation-form,2,AOM_101125,Comminuted particle form,0,0,,2,2,comminuted-presentation,proposed,Comminuted feed presentation described as meal; drying and particle-size threshold remain unspecified unless separately governed.
AOM_101051,Powder form,presentation-form,2,AOM_101125,Comminuted particle form,0,0,,1,1,comminuted-presentation,proposed,Governed presentation form value used for ingredient-component semantics.
AOM_001938,Chicken Offal Dried Ground,specific-material,0,AOM_100983,Chicken feed materials,0,0,,0,0,processed-poultry-offal-material,proposed,"A feed material with governed source identity “chicken offal” and characteristics: moisture condition — Dried moisture condition; presentation form — Meal form; processing method — Drying, Grinding."
AOM_000764,Mineral Block,specific-material,0,AOM_101140,Mineral complementary feeds,0,0,aom:FeedFormulation,0,0,mineral-formulation-block,proposed,A feed material with governed source identity “mineral” and characteristics: presentation form — Block form.
AOM_000766,Mineral Lick,specific-material,0,AOM_101140,Mineral complementary feeds,0,0,aom:FeedFormulation,0,0,mineral-formulation-lick,proposed,"A feed-supplement ingredient with governed workbook identity “Mineral Lick”, classified within “Mineral”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted."
