source_row,raw_unit,canonical_label,raw_occurrences,distinct_nonblank_corrections,mapping_status,canonical_unit_uri,external_mapping_status,recommended_disposition
2,0.04,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
3,$,USD,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
4,$/100kg,USD/100kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
5,$/animal,USD/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
6,$/day,USD/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
7,$/ha,USD/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
8,$/kg,USD/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
9,%,%,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
10,% (0 MPa),% (0 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
11,% (0.003MPa),% (0.003 MPa),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
12,% (0.006MPa),% (0.006 MPa),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
13,% (0.01MPa),% (0.01 MPa),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
14,% (0.03 MPa),% (0.03 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
15,% (0.1 MPa),% (0.1 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
16,% (0.1MPa),% (0.1MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
17,% (0.3 bar),% (0.3 bar),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
18,% (0.5 MPa),% (0.5 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
19,% (0.5MPa),% (0.5 MPa),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
20,% (0MPa),% (0 MPa),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
21,% (1.5 MPa),% (1.5 MPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
22,% (1.5MPa),% (1.5 MPa),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
23,% (15bar),% (15 bar),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
24,% (3WAS),% (3 WAS),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
25,% (5 WAS),% (5 WAS),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
26,% (5-1500kPa),% (5-1500 kPa),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
27,% (5-33kPa),% (5-33 kPa),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
28,% (7WAS),% (7 WAS),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
29,% (9WAS),% (9 WAS),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
30,% (beyond 33kPa),% (beyond 33kPa),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
31,% (v/v 0 bars),% (v/v 0 bars),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
32,% (v/v 0.01 bars),% (v/v 0.01 bars),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
33,% (v/v 0.1 bars),% (v/v 0.1 bars),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
34,% (v/v 0.5 bars),% (v/v 0.5 bars),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
35,% (v/v 1 bars),% (v/v 1 bars),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
