concept_id,preferred_label,review_status,implementation_status,review_axis,recommended_disposition,decision_record,method,reviewer,implementation_date,evidence_ids,rationale
AOM_101132,Feed bulk consistencies,approved,implemented,bulk-consistency,retain-and-reparent,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Bulk flow and dispersion are categorical physical descriptors independent of particle presentation and moisture condition.
AOM_101077,Liquid consistency,approved,confirmed-no-change,bulk-consistency,retain-distinct-consistency,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Liquid lacks a governed dispersed-solid requirement; slurry requires solids in a liquid phase; pulp denotes moist fibrous or cellular semisolid material.
AOM_101078,Pulp consistency,approved,confirmed-no-change,bulk-consistency,retain-distinct-consistency,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Liquid lacks a governed dispersed-solid requirement; slurry requires solids in a liquid phase; pulp denotes moist fibrous or cellular semisolid material.
AOM_101118,Slurry consistency,approved,confirmed-no-change,bulk-consistency,retain-distinct-consistency,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FOODON-PHYSICAL,Liquid lacks a governed dispersed-solid requirement; slurry requires solids in a liquid phase; pulp denotes moist fibrous or cellular semisolid material.
AOM_101115,Native-component retention states,approved,implemented,component-retention,retain-and-rename,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048,Axis records what native component remains; it should not encode measured quantity or merely lack of defatting.
AOM_101134,Native-fat-retained composition,approved,implemented,component-retention,retain-rename-and-repredicate,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048,Positive native-fat retention is component retention; it is not measured fat content and does not merely assert absence of defatting.
AOM_101086,Whole-crop composition,approved,implemented,component-retention,retain-and-rename,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048,"Whole-crop describes retained harvested scope, not measured chemical composition."
AOM_101110,Whole-grain composition,approved,implemented,component-retention,retain-and-rename,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048,Whole-grain integrity remains true after grinding and must not be treated as presentation or measured composition.
AOM_101116,Whole-milk composition,approved,deprecated-with-replacement,component-retention,deprecate-after-migration,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;ADR-0048;EU-CATALOGUE,Whole Milk product identity already conveys whole product; current state has one use and its only governed retained-component relation is fat.
AOM_101080,Ash constituent,approved,deprecated-with-replacement,dual-use-constituent,deprecate-category-error,docs/decisions/0049-composition-form-and-component-retention-model.md,docs/methods/composition-form-and-retention-governance.md,Pete Steward,2026-08-21,LOCAL-GRAPH;AOM-SCHEMA;FAO-ASH;FEEDIPEDIA-GLOSSARY,"Ash is analytical residue after incineration, not one chemical constituent; Bone Ash to Ash constituent is also identity-tautological."
