facet_id,facet_label,target_property,value_class,definition,decision_rule,status,reviewer,review_date,evidence
legacy_descriptor,Legacy component descriptor,aom:legacyComponentDescriptor,xsd:string,Unmodified source descriptor retained for provenance and rollback.,Always preserve when source field is populated.,design-approved,Pete Steward,2026-08-04,FACET-001
material_component,Material component,aom:materialComponent,aom:FeedMaterialComponent,Reviewed material scope or component including whole crop and anatomical parts.,Use for material identity; never infer collective meaning from ambiguous Whole alone.,design-approved,Pete Steward,2026-08-05,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md
anatomical_part,Anatomical part,aom:ingredientPart,aom:IngredientPartCategory,Plant or animal anatomical structure from which feed material derives.,Use only when descriptor identifies biological anatomy rather than processed product.,design-approved,Pete Steward,2026-08-04,FACET-001
physical_form,Physical form,aom:physicalForm,aom:IngredientPhysicalForm,Physical presentation or form of feed material.,Use for form independent of biological part and economic role.,design-approved,Pete Steward,2026-08-04,FACET-001
material_integrity,Material integrity,aom:materialIntegrity,aom:MaterialIntegrity,Compositional integrity retained independently of particle form and processing.,Use Whole grain only when bran germ and endosperm remain in characteristic proportions; never use for whole crop or whole milk.,design-approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md
processing_method,Processing method,aom:processingMethod,aom:ProcessingMethod,Transformation applied to produce or prepare feed material.,Use for an operation; do not use for resulting material identity alone.,design-approved,Pete Steward,2026-08-04,FACET-001
product_role,Product role,aom:productRole,aom:ProductRole,Economic or production role such as primary product by-product or waste.,Use for contextual role; role does not assert material identity.,design-approved,Pete Steward,2026-08-04,FACET-001
chemical_constituent,Chemical constituent,aom:ingredientConstituent,aom:IngredientConstituent,Chemical substance or fraction present in or isolated from feed material.,Use only for constituent identity; measured composition remains SOSA/QUDT observation.,design-approved,Pete Steward,2026-08-04,FACET-001
composite_descriptor,Composite descriptor,,,Descriptor expressing two or more facets or a derived material requiring decomposition.,Split into reviewed assertions; never mint one opaque mapping automatically.,design-approved,Pete Steward,2026-08-04,FACET-001
unresolved_descriptor,Unresolved descriptor,,,Meaning or facet cannot be established from available evidence.,Hold without IRI and retain raw descriptor for later review.,design-approved,Pete Steward,2026-08-04,FACET-001
