concept_id,preferred_label,cohort_scope,feed_material_direct_branch_ids,feed_material_direct_branch_labels,depth_from_feed_materials,depth_from_feed_additives,depth_from_feed_chemical_substances,current_parent_ids,current_parent_labels,direct_child_count,descendant_count,review_requirement
AOM_000531,Ingredient name,feed-material-descendant;direct-feed-material-child,AOM_000531,Ingredient name,1,,,AOM_100850,Feed materials,0,0,affected-descendant-inventory;row-level-disposition
AOM_000532,Ingredient part,feed-material-descendant;direct-feed-material-child,AOM_000532,Ingredient part,1,,,AOM_100850,Feed materials,0,0,affected-descendant-inventory;row-level-disposition
AOM_000533,Ingredient species,feed-material-descendant;direct-feed-material-child,AOM_000533,Ingredient species,1,,,AOM_100850,Feed materials,0,0,affected-descendant-inventory;row-level-disposition
AOM_000534,Ingredient proportion,feed-material-descendant;direct-feed-material-child,AOM_000534,Ingredient proportion,1,,,AOM_100850,Feed materials,0,0,affected-descendant-inventory;row-level-disposition
AOM_000535,Ingredient source,feed-material-descendant;direct-feed-material-child,AOM_000535,Ingredient source,1,,,AOM_100850,Feed materials,0,0,affected-descendant-inventory;row-level-disposition
AOM_000536,Blood Ground,feed-material-descendant,AOM_000559,Animal,3,,,AOM_001616,Blood,0,0,affected-descendant-inventory
AOM_000537,Blood Dried Ground Heated,feed-material-descendant,AOM_000559,Animal,3,,,AOM_001616,Blood,0,0,affected-descendant-inventory
AOM_000538,Bone Ash,feed-material-descendant,AOM_100976,Animal by-products,3,,,AOM_000540,Bone,0,0,affected-descendant-inventory
AOM_000539,Bone Ground,feed-material-descendant,AOM_100976,Animal by-products,3,,,AOM_000540,Bone,0,0,affected-descendant-inventory
AOM_000540,Bone,feed-material-descendant,AOM_100976,Animal by-products,2,,,AOM_100976,Animal by-products,3,3,affected-descendant-inventory
AOM_000542,Crustacean,feed-material-descendant,AOM_000559,Animal,2,,,AOM_000559,Animal,1,4,affected-descendant-inventory
AOM_000543,Fish Ground,feed-material-descendant,AOM_000559,Animal,3,,,AOM_000549,Fish,0,0,affected-descendant-inventory
AOM_000544,Fish Oil,feed-material-descendant,AOM_000559,Animal,3,,,AOM_000549,Fish,2,2,affected-descendant-inventory
AOM_000545,Fish Processing Waste,feed-material-descendant,AOM_100976,Animal by-products,3,,,AOM_100985,Fish by-products,2,2,affected-descendant-inventory
AOM_000547,Nile Perch Fish Oil,feed-material-descendant,AOM_000559,Animal,3,,,AOM_000549,Fish,0,0,affected-descendant-inventory
AOM_000549,Fish,feed-material-descendant,AOM_000559,Animal,2,,,AOM_000559,Animal,21,38,affected-descendant-inventory
AOM_000550,African Palm Larvae Ground,feed-material-descendant,AOM_000559,Animal,4,,,AOM_001805,African Palm Larvae,0,0,affected-descendant-inventory
AOM_000551,Black Soldier Fly Larvae Dried Ground,feed-material-descendant,AOM_000559,Animal,4,,,AOM_006043,Black Soldier Fly Larvae,0,0,affected-descendant-inventory
AOM_000552,Grasshopper Ground,feed-material-descendant,AOM_000559,Animal,4,,,AOM_002247,Grasshopper,0,0,affected-descendant-inventory
AOM_000553,Winged Termite Ground,feed-material-descendant,AOM_000559,Animal,4,,,AOM_002248,Termite,0,0,affected-descendant-inventory
AOM_000554,Insect,feed-material-descendant,AOM_000559,Animal,2,,,AOM_000559,Animal,6,16,affected-descendant-inventory
AOM_000555,Whole Milk,feed-material-descendant,AOM_000559,Animal,3,,,AOM_000556,Milk,0,0,affected-descendant-inventory
AOM_000556,Milk,feed-material-descendant,AOM_000559,Animal,2,,,AOM_000559,Animal,4,4,affected-descendant-inventory
AOM_000557,Oyster Shells,feed-material-descendant,AOM_100976,Animal by-products,3,,,AOM_000558,Shell,1,1,affected-descendant-inventory
AOM_000558,Shell,feed-material-descendant,AOM_100976,Animal by-products,2,,,AOM_100976,Animal by-products,3,4,affected-descendant-inventory
AOM_000559,Animal,feed-material-descendant;direct-feed-material-child,AOM_000559,Animal,1,,,AOM_100850,Feed materials,7,76,affected-descendant-inventory;row-level-disposition
AOM_000561,Animal Manures,feed-material-descendant;direct-feed-material-child,AOM_000561,Animal Manures,1,,,AOM_100850,Feed materials,4,11,affected-descendant-inventory;row-level-disposition
AOM_000563,Unspecified Bran,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_000594,Cereal ByProducts,2,2,affected-descendant-inventory;source-navigation-impact-review
AOM_000564,"Brewers grains, dehydrated",feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_000594,Cereal ByProducts,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000565,Brewers Spent Grain,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_000594,Cereal ByProducts,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000567,Hominy Ground,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,5,,,AOM_001434,Hominy,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000569,Maize Cob,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100851,Maize by-products,4,4,affected-descendant-inventory;source-navigation-impact-review
AOM_000570,Maize Extruded,feed-material-descendant;crop-forage-navigation,AOM_100921,Crop product,4,,,AOM_000648,Maize,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000571,Maize Offal,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100851,Maize by-products,3,3,affected-descendant-inventory;source-navigation-impact-review
AOM_000572,Maize Straw,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100851,Maize by-products,10,10,affected-descendant-inventory;source-navigation-impact-review
AOM_000574,Oat Leaves Dried,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100860,Oat by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000575,Rice Bran,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100861,Rice by-products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000576,Rice Husk,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100861,Rice by-products,4,4,affected-descendant-inventory;source-navigation-impact-review
AOM_000577,Rice Offal,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100861,Rice by-products,2,2,affected-descendant-inventory;source-navigation-impact-review
AOM_000578,Rice Polish,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100861,Rice by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000579,Rice Straw,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100861,Rice by-products,12,12,affected-descendant-inventory;source-navigation-impact-review
AOM_000580,Rye Bran,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100862,Rye by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000581,Sorghum Straw,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100863,Sorghum by-products,4,4,affected-descendant-inventory;source-navigation-impact-review
AOM_000582,Unspecified Straw,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,3,,,AOM_000594,Cereal ByProducts,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000584,Barley Straw,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100856,Barley by-products,2,2,affected-descendant-inventory;source-navigation-impact-review
AOM_000585,Wheat Bran,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100864,Wheat by-products,2,2,affected-descendant-inventory;source-navigation-impact-review
AOM_000586,Wheat Bran Remoulage,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,5,,,AOM_000585,Wheat Bran,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000587,Wheat Dried,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100864,Wheat by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
AOM_000589,Wheat Offal,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100864,Wheat by-products,1,1,affected-descendant-inventory;source-navigation-impact-review
AOM_000591,Wheat Shorts,feed-material-descendant;crop-forage-navigation,AOM_001916,Crop Byproduct,4,,,AOM_100864,Wheat by-products,0,0,affected-descendant-inventory;source-navigation-impact-review
