concept_id,preferred_label,review_scope,current_parent_ids,current_parent_labels,current_top_group_ids,current_top_group_labels,current_descendant_count,current_governed_types,current_definition,problem_category,recommended_action,recommended_axis,recommended_target,evidence_state,rationale
AOM_000531,Ingredient name,feed_material_direct_child,AOM_100850,Feed materials,,,0,,"any characteristics related to food raw material name- e.g. wheat flour, soybean meal",schema field exposed as feed material,deprecate-and-remove-from-browse,schema property,aom:ingredientName literal property,model-supported,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000532,Ingredient part,feed_material_direct_child,AOM_100850,Feed materials,,,0,,"any measurable or observable characteristics related to the part of the food raw material entering in the composition of animal diet- e.g. bran, starch, beet…",schema field exposed as feed material,deprecate-and-remove-from-browse,schema property,aom:materialComponent / aom:hasAnatomicalComponent relation,model-supported,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000533,Ingredient species,feed_material_direct_child,AOM_100850,Feed materials,,,0,,"any characteristics related to the botanical species of food raw material e.g. maize (Zea mays), peruvian anchoveta (Engraulis ringens), etc",schema field exposed as feed material,deprecate-and-remove-from-browse,schema property,aom:sourceTaxon relation,model-supported,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000534,Ingredient proportion,feed_material_direct_child,AOM_100850,Feed materials,,,0,,any measurable or declared characteristics related to the proportion of food raw material in animal diet- e.g. 0.6 corn grain,schema field exposed as feed material,deprecate-and-remove-from-browse,schema property,aom:ingredientProportion quantity,model-supported,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000535,Ingredient source,feed_material_direct_child,AOM_100850,Feed materials,,,0,,An AOM controlled category for “Ingredient source” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,schema field exposed as feed material,deprecate-and-remove-from-browse,schema property,aom:materialSource relation,model-supported,Legacy field identity should remain searchable but no longer appear as a feed material.
AOM_000559,Animal,feed_material_direct_child,AOM_100850,Feed materials,,,76,,An AOM controlled category for “Animal” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,direct feed-material category outside disputed branches,retain-pending-later-review,feed material,Animal,outside-current-defect,Included to prove complete direct-branch coverage; no new defect asserted in this review.
AOM_000561,Animal Manures,feed_material_direct_child,AOM_100850,Feed materials,,,11,,An AOM controlled category for “Animal Manures” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,direct feed-material category outside disputed branches,retain-pending-later-review,feed material,Animal Manures,outside-current-defect,Included to prove complete direct-branch coverage; no new defect asserted in this review.
AOM_000735,Forage Plants,feed_material_direct_child,AOM_100850,Feed materials,,,768,,An AOM controlled feed category for “Forage Plants”. Used to organize narrower feed materials; it does not identify one material or assert inherited characteristics.,direct feed-material category outside disputed branches,retain-pending-later-review,feed material,Forage Plants,outside-current-defect,Included to prove complete direct-branch coverage; no new defect asserted in this review.
AOM_000736,Supplement,feed_material_direct_child,AOM_100850,Feed materials,,,94,,An AOM controlled category for “Supplement” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,meaningless mixed material superclass,retire-and-replace,supplemental feeding role,feeding role or complementary-feed formulation,authority-supported,"Supplement denotes use with another feed, not a material identity. Descendants require independent classification."
AOM_000737,Amino Acid,supplement_descendant,AOM_000736,Supplement,AOM_000737,Amino Acid,6,,An AOM controlled category for “Amino Acid” within “Supplement”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.,additive category under material catch-all,move,feed additive,nutritional additives / amino acids,authority-supported,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000738,Threonine,supplement_descendant,AOM_000737,Amino Acid,AOM_000737,Amino Acid,0,,"(2S,3R)-2-Amino-3-hydroxybutanoic acid",additive category under material catch-all,move,feed additive,nutritional additives / amino acids,authority-supported,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000739,Lysine,supplement_descendant,AOM_000737,Amino Acid,AOM_000737,Amino Acid,0,,"(S)-2,6-diaminohexanoic acid",additive category under material catch-all,move,feed additive,nutritional additives / amino acids,authority-supported,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000740,Lysine - HCl,supplement_descendant,AOM_000737,Amino Acid,AOM_000737,Amino Acid,0,,"(S)-2,6-diaminohexanoic acid hydrochloride",additive category under material catch-all,move,feed additive,nutritional additives / amino acids,authority-supported,"EU feed-additive categories place amino acids, salts, and analogues under nutritional additives."
AOM_000743,Carboxymethyl Cellulose,other_ingredients_descendant,AOM_000745,Binder,AOM_000745,Binder,1,,"A feed ingredient with governed workbook identity “Carboxymethyl Cellulose”, classified within “Binder”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted.",material or additive hidden beneath Binder role category,reparent-and-link-role,feed material or feed additive,independent identity plus Binder role,requires-item-evidence,Binder function must be an explicit role; bearer classification requires substance/product evidence.
