repository,repository_role,remote,snapshot_commit,matching_files,reference_summary,disposition,limitation
era-aom,semantic-producer,https://github.com/ERAgriculture/era-aom.git,2b9d5b4,81,"Governed tables, generators, schemas, review evidence, tests, and generated distributions contain IDs or target properties.",producer-change-required,"Count includes generated distributions and historical review artifacts."
era-program,program-governance,https://github.com/ERAgriculture/era-program.git,346b65d,1,"Ontology review queue references Cohort B IDs.",tracking-only,"Working-tree snapshot; not an implementation consumer."
era-data-pipeline,canonical-pipeline,https://github.com/ERAgriculture/era-data-pipeline.git,e6b86ce,7,"Pinned contracts, ingestion code, tests, and method documentation use all five IDs and target properties.",consumer-migration-required,"Dual-publish foundation only; full private-input release run not performed."
era-data,catalog-contract-repository,https://github.com/ERAgriculture/era-data.git,799ace4,0,"No exact ID or target-property references.",no-current-change,"Exact text search cannot detect indirect or external runtime dependencies."
eragri,R-user-interface,https://github.com/ERAgriculture/eragri.git,174e8ee,0,"No exact ID or target-property references.",no-current-change,"Exact text search cannot detect indirect or external runtime dependencies."
era-docs,human-documentation,https://github.com/ERAgriculture/era-docs.git,afe9af7,0,"No exact ID or target-property references.",future-doc-update-after-approval,"Documentation may need future card/access guidance despite no current exact references."
LTEs,reference-analysis,https://github.com/ERAgriculture/LTEs.git,df2eab2,0,"No exact ID or target-property references.",no-current-change,"Exact text search cannot detect user-held notebooks or released-data assumptions."
ERA_ltes,legacy-analysis,https://github.com/EiA2030/ERA_ltes,ee8de11,0,"No exact ID or target-property references.",no-current-change,"Local legacy repository snapshot."
ERA_Agronomy,analysis-consumer,https://github.com/ERAgriculture/ERA_Agronomy,abcbe2a,0,"No exact ID or target-property references.",no-current-change,"Exact text search cannot detect external data dictionaries."
ERL,analysis-consumer,https://github.com/ERAgriculture/ERL,4d1cb42,0,"No exact ID or target-property references.",no-current-change,"Exact text search cannot detect external data dictionaries."
ERA_dev,legacy-pipeline,https://github.com/CIAT/ERA_dev,f1be760,0,"No exact ID or target-property references.",do-not-modify,"Legacy source remains live and untouched under program governance."
