source_value,assertion_order,facet,target_concept_id,target_label,status,reviewer,review_date,evidence,rationale
Bean Cake,1,physical_form,AOM_101052,Cake form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Bean Cake,2,product_role,AOM_101062,By-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Bean Shell,1,anatomical_part,AOM_101040,Shell,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Brewers Grain,1,processing_method,AOM_101068,Brewing,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Brewers Grain,2,product_role,AOM_101062,By-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Flakes Defatted,1,physical_form,AOM_101053,Flake form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Flakes Defatted,2,processing_method,AOM_101069,Defatting,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Full Fat Cake,1,chemical_constituent,AOM_101066,Fat constituent,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Full Fat Cake,2,physical_form,AOM_101052,Cake form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Full Fat Cake,3,processing_method,AOM_101070,Pressing,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Hay,1,physical_form,AOM_101054,Dried form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Hay,2,processing_method,AOM_101071,Drying,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Kernel Cake,1,anatomical_part,AOM_101032,Kernel,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Kernel Cake,2,physical_form,AOM_101052,Cake form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Kernel Cake,3,processing_method,AOM_101070,Pressing,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves and Soft Twig,1,anatomical_part,AOM_101033,Leaf,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves and Soft Twig,2,anatomical_part,AOM_101045,Twig,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves and Twigs,1,anatomical_part,AOM_101033,Leaf,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves and Twigs,2,anatomical_part,AOM_101045,Twig,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves Cake,1,anatomical_part,AOM_101033,Leaf,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves Cake,2,physical_form,AOM_101052,Cake form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves Cake,3,processing_method,AOM_101070,Pressing,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves Extract,1,anatomical_part,AOM_101033,Leaf,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Leaves Extract,2,processing_method,AOM_101072,Extraction,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Peel Essential Oil,1,anatomical_part,AOM_101034,Peel,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Peel Essential Oil,2,chemical_constituent,AOM_101067,Essential-oil constituent,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Peel Essential Oil,3,processing_method,AOM_101072,Extraction,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Root Bark,1,anatomical_part,AOM_101037,Root,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Root Bark,2,anatomical_part,AOM_101046,Bark,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Seed Cake,1,anatomical_part,AOM_101038,Seed,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Seed Cake,2,physical_form,AOM_101052,Cake form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Seed Cake,3,processing_method,AOM_101070,Pressing,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Seed Hull,1,anatomical_part,AOM_101038,Seed,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Seed Hull,2,anatomical_part,AOM_101030,Hull,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Stover,1,anatomical_part,AOM_101047,Stem,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Stover,2,anatomical_part,AOM_101033,Leaf,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Stover,3,product_role,AOM_101063,Crop-residue role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Threshed Top,1,anatomical_part,AOM_101048,Plant top,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Threshed Top,2,processing_method,AOM_101073,Threshing,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Bran,1,processing_method,AOM_101082,Milling,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Bran,2,product_role,AOM_101062,By-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Cake,1,physical_form,AOM_101052,Cake form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Cake,2,processing_method,AOM_101070,Pressing,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Cake,3,product_role,AOM_101062,By-product role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Haulm,1,anatomical_part,AOM_101047,Stem,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Haulm,2,anatomical_part,AOM_101033,Leaf,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Haulm,3,product_role,AOM_101063,Crop-residue role,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Hydrolysate,1,processing_method,AOM_101083,Hydrolysis,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Juice,1,physical_form,AOM_101077,Liquid form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Juice,2,processing_method,AOM_101072,Extraction,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Molasses,1,physical_form,AOM_101077,Liquid form,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
Molasses,2,processing_method,AOM_101084,Sugar processing,approved,Pete Steward,2026-08-05,review/livestock-v3/ingredient_component_value_candidates.csv,High-confidence compound descriptor decomposed into independently typed facet assertion.
