concept_id,preferred_label,feedipedia_url,page_heading,decision,status,governed_source_identity,blocker_code,reviewer,review_date,evidence,rationale
AOM_000538,Bone Ash,https://www.feedipedia.org/node/11876,"Bone meal, raw",hold_narrower_table_scope,held,,narrower_table_scope,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11876,Shared table describes narrower component or processing state; page co-reference does not define this concept.
AOM_000540,Bone,https://www.feedipedia.org/node/11876,"Bone meal, raw",hold_narrower_table_scope,held,,narrower_table_scope,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11876,Shared table describes narrower component or processing state; page co-reference does not define this concept.
AOM_000654,Millet,https://www.feedipedia.org/node/11688,"Pearl millet, grain",hold_source_material_distinction,held,,source_material_distinction,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11688,"Broader source concept remains distinct from explicit grain, cladode, corm, residue, bean-cake, or seed material partner."
AOM_000671,Palm Oil,https://www.feedipedia.org/node/15497,"Palm oil mill effluent, decanted",hold_source_material_distinction,held,,source_material_distinction,Pete Steward,2026-08-06,https://www.feedipedia.org/node/15497,"Broader source concept remains distinct from explicit grain, cladode, corm, residue, bean-cake, or seed material partner."
AOM_001145,Faidherbia albida,https://www.feedipedia.org/node/11539,"Apple-ring acacia, leaves, dry",hold_synonym_replacement_review,held,,synonym_replacement_review,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11539,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001149,Gliricidia sepium,https://www.feedipedia.org/node/11617,"Gliricidia, leaves, fresh",hold_synonym_replacement_review,held,,synonym_replacement_review,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11617,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001166,Opuntia ficus indica,https://www.feedipedia.org/node/11595,"Prickly pear, cladodes, fresh",hold_source_material_distinction,held,,source_material_distinction,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11595,"Broader source concept remains distinct from explicit grain, cladode, corm, residue, bean-cake, or seed material partner."
AOM_001208,Centrosema pubescens,https://www.feedipedia.org/node/11544,"Centro, aerial part, fresh",hold_synonym_replacement_review,held,,synonym_replacement_review,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11544,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001282,Enset,https://www.feedipedia.org/node/22889,"Enset (Ensete ventricosum) corms, fresh",hold_source_material_distinction,held,,source_material_distinction,Pete Steward,2026-08-06,https://www.feedipedia.org/node/22889,"Broader source concept remains distinct from explicit grain, cladode, corm, residue, bean-cake, or seed material partner."
AOM_001317,Soybean Full Fat,https://www.feedipedia.org/node/12625,Soybeans (all),hold_composition_state_distinction,held,,composition_state_distinction,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12625,Generic soybean page cannot establish equivalence between soybean and full-fat soybean material.
AOM_001334,Pearl Millet,https://www.feedipedia.org/node/11688,"Pearl millet, grain",approve_explicit_grain_material,approved,pearl millet,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11688,Heading identifies pearl-millet grain; retained material records source plus seed component.
AOM_001380,Andropogon gayanus,https://www.feedipedia.org/node/12114,"Gamba grass (Andropogon gayanus), aerial part, fresh",hold_narrower_table_scope,held,,narrower_table_scope,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12114,Shared table describes narrower component or processing state; page co-reference does not define this concept.
AOM_001383,Andropogon guianensis,https://www.feedipedia.org/node/12114,"Gamba grass (Andropogon gayanus), aerial part, fresh",hold_contradictory_species_mapping,held,,contradictory_species_mapping,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12114,Shared page identifies different species; prior assertion-level review excludes contradictory Feedipedia mapping.
AOM_001389,Digitaria decumbens,https://www.feedipedia.org/node/12597,"Signal grass (Brachiaria decumbens), aerial part, fresh",hold_contradictory_species_mapping,held,,contradictory_species_mapping,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12597,Shared page identifies different species; prior assertion-level review excludes contradictory Feedipedia mapping.
AOM_001397,Bracharia decumbens,https://www.feedipedia.org/node/12597,"Signal grass (Brachiaria decumbens), aerial part, fresh",hold_narrower_table_scope,held,,narrower_table_scope,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12597,Shared table describes narrower component or processing state; page co-reference does not define this concept.
AOM_001407,Panicum maximum,https://www.feedipedia.org/node/11522,"Guinea grass, hay",hold_narrower_table_scope,held,,narrower_table_scope,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11522,Shared table describes narrower component or processing state; page co-reference does not define this concept.
AOM_001527,Centrosema molle,https://www.feedipedia.org/node/11544,"Centro, aerial part, fresh",hold_synonym_replacement_review,held,,synonym_replacement_review,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11544,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001582,Soybean,https://www.feedipedia.org/node/12625,Soybeans (all),hold_composition_state_distinction,held,,composition_state_distinction,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12625,Generic soybean page cannot establish equivalence between soybean and full-fat soybean material.
AOM_001797,Gliciridia sepium,https://www.feedipedia.org/node/11617,"Gliricidia, leaves, fresh",hold_synonym_replacement_review,held,,synonym_replacement_review,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11617,Names may be taxonomic or spelling synonyms; retain both IDs until occurrence evidence selects replacement direction.
AOM_001818,Ensete ventricosum Corm,https://www.feedipedia.org/node/22889,"Enset (Ensete ventricosum) corms, fresh",approve_explicit_corm_material,approved,Ensete ventricosum,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/22889,Heading directly identifies fresh Ensete ventricosum corms; processing state is not asserted.
AOM_001837,Palm Oil Sludge,https://www.feedipedia.org/node/15497,"Palm oil mill effluent, decanted",approve_explicit_residue_material,approved,oil palm processing,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/15497,Heading identifies decanted palm-oil mill effluent; retained material records processing-residue role.
AOM_001914,Opuntia ficus indica Cladode,https://www.feedipedia.org/node/11595,"Prickly pear, cladodes, fresh",approve_explicit_cladode_material,approved,Opuntia ficus-indica,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11595,Heading directly identifies fresh prickly-pear cladodes; processing state is not asserted.
AOM_002106,Cocoa Bean Cake,https://www.feedipedia.org/node/11693,Cocoa oil meal,approve_industry_cake_meal_alias,approved,cocoa bean,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11693,"Cocoa oil meal establishes pressed cocoa-bean cake material, distinct from unprocessed bean."
