edge_id,subject_id,subject_label,subject_type,current_relation,object_id,object_label,object_type,recommended_disposition,proposed_relation,status,evidence_ids,rationale
HIER-0001,era:practice:practice:001,FMNR,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0002,era:practice:practice:002,Alleycropping,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0003,era:practice:practice:003,Parklands,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0004,era:practice:practice:004,Boundary Planting,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0005,era:practice:practice:005,Silvopasture,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0006,era:practice:practice:006,Multistrata Agroforestry,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0007,era:practice:practice:007,Agroforestry Pruning,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0008,era:practice:practice:008,Agroforestry Fallow,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0009,era:practice:practice:009,Other Agroforestry,practice,broader,era:practice:theme:001,Agroforestry,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0010,era:practice:practice:010,Feed Addition,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0011,era:practice:practice:011,Feed Substitution,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0012,era:practice:practice:012,Feed Processing,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0013,era:practice:practice:013,Genetic Improvement,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0014,era:practice:practice:014,Manure Management,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0015,era:practice:practice:015,Pasture Management,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0016,era:practice:practice:016,Aquasilviculture,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
HIER-0017,era:practice:practice:017,Feed Addition; Feed Substitution,practice,broader,era:practice:theme:002,Animals,theme,replace-with-navigation-membership,member-of-reporting-collection,held,E-PILOT;E-SKOS,Object is an editorial source level; membership preserves navigation without asserting inherent broader meaning.
