concept_id,preferred_label,feedipedia_url,page_heading,decision,status,governed_source_identity,blocker_code,reviewer,review_date,evidence,rationale
AOM_000571,Maize Offal,https://www.feedipedia.org/node/12280,Maize bran,hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12280,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_000577,Rice Offal,https://www.feedipedia.org/node/11637,"Rice bran, fibre 11-20%",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11637,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_000578,Rice Polish,https://www.feedipedia.org/node/12526,"Rice grain, polished",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12526,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_000589,Wheat Offal,https://www.feedipedia.org/node/12751,Wheat bran,hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12751,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_000601,Cowpea Haulm,https://www.feedipedia.org/node/17446,"Cowpea (Vigna unguiculata), haulms",approve_exact_material_identity,approved,cowpea,,Pete Steward,2026-08-06,https://www.feedipedia.org/node/17446,Feedipedia heading directly identifies cowpea haulms.
AOM_000603,Fava Bean Haulm,https://www.feedipedia.org/node/19702,"Faba bean (Vicia faba), aerial part, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/19702,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_000615,Legume ByProducts,https://www.feedipedia.org/node/13596,Legume seeds and by-products,hold_broad_category_or_duplicate,held,,category_or_duplicate_review,Pete Steward,2026-08-06,https://www.feedipedia.org/node/13596,Broad by-product label may overlap existing governed category or retained material; replacement decision needs occurrence evidence.
AOM_000706,Acacia tortilis,https://www.feedipedia.org/node/12810,"Umbrella thorn leaves, dry",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12810,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001190,Noug,https://www.feedipedia.org/node/12373,"Niger (Guizotia abyssinica) oil meal, expeller extraction",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12373,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001216,Indigofera indica,https://www.feedipedia.org/node/12179,"Hairy indigo (Indigofera hirsuta), aerial part, fresh",hold_contradictory_mapping_removed,held,,contradictory_mapping_removed,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12179,Prior assertion-level review removed Feedipedia target because page identifies different taxon or material.
AOM_001265,Ziziphus mauritiania,https://www.feedipedia.org/node/12199,"Indian jujube (Ziziphus mauritiana), aerial part, fresh",hold_material_scope_after_label_correction,held,,material_scope_unresolved,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12199,"Scientific-name spelling can be corrected, but table describes narrower plant component or processing state."
AOM_001373,Cellulose,https://www.feedipedia.org/node/12423,Paper,hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12423,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001446,Sorghum sudanense,https://www.feedipedia.org/node/11534,"Sudan grass, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11534,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001455,Triticum,https://www.feedipedia.org/node/12761,"Wheat forage, fresh",hold_granularity_mismatch,held,,granularity_mismatch,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12761,"Feedipedia target is broader, narrower, or differently processed; related evidence does not establish concept identity."
AOM_001462,Cynadon dactylon,https://www.feedipedia.org/node/11847,"Bermuda grass (Cynodon dactylon), aerial part, fresh",hold_material_scope_after_label_correction,held,,material_scope_unresolved,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11847,"Scientific-name spelling can be corrected, but table describes narrower plant component or processing state."
AOM_001476,Lolium multiflorum,https://www.feedipedia.org/node/12543,"Rye, aerial part, fresh",hold_contradictory_mapping_removed,held,,contradictory_mapping_removed,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12543,Prior assertion-level review removed Feedipedia target because page identifies different taxon or material.
