case_id,concept_id,current_label,canonical_occurrences,observed_component,observed_process,proposed_disposition,proposed_label,replacement_id,confidence,approval_status,evidence,rationale
MAIZE-001,AOM_000648,Maize,7,unspecified,none,retain_distinct,Maize,,high,proposed,"canonical workbook AOM row 770; ani_diet rows 893-899",Crop/source grouping; source occurrences include several downstream materials and qualities so this is not equivalent to maize grain.
MAIZE-002,AOM_000649,Maize Grain,2,Grain,none,retain_distinct,Maize grain,,high,proposed,"canonical workbook AOM row 779; ani_diet rows 930-931; Feedipedia 11662",Explicit harvested grain identity; canonical base for grain-derived materials.
MAIZE-003,AOM_001313,Maize Whole,1,Whole,none,hold,Whole-grain maize,,medium,proposed,"canonical workbook AOM row 785; ani_diet row 979; Feedipedia 11662",Concentrated-feed occurrence suggests whole grain rather than whole crop but explicit definition is missing.
MAIZE-004,AOM_006072,Maize Whole Ensiled,2,Whole,Ensiling,deprecate_replace,Whole-crop maize silage,AOM_001326,high,proposed,"canonical workbook AOM row 783; ani_diet rows 980-981; Feedipedia maize silage 13883",Whole plus chopping and ensiling denotes whole-crop maize silage; duplicates broader Maize Ensiled identity.
MAIZE-005,AOM_001324,Maize Whole Ground,1,Whole,Grinding,hold,Ground whole-grain maize,,medium,proposed,"canonical workbook AOM row 784; ani_diet row 982; Feedipedia 11662",Whole maize meal indicates whole-grain integrity plus grinding; distinction from generic ground maize needs definition review.
MAIZE-006,AOM_001326,Maize Ensiled,3,unspecified,Ensiling,retain_relabel,Whole-crop maize silage,,high,proposed,"canonical workbook AOM row 773; ani_diet rows 921-923; Feedipedia 13883",Public mapping defines maize silage as whole ensiled maize plants; best retained identity for merged silage concept.
MAIZE-007,AOM_001674,Maize Ground,9,unspecified,Grinding,duplicate_review,Ground maize grain,,medium,proposed,"canonical workbook AOM row 780; ani_diet rows 935-943",Meal and flour occurrences are grain-derived but explicit component is blank; compare with AOM_001679 before selecting retained ID.
MAIZE-008,AOM_006164,Maize Grain Crushed,1,Grain,Crushing,duplicate_review,Crushed maize grain,,medium,proposed,"canonical workbook AOM row 777; ani_diet row 932",Likely overlaps generic Maize Crushed; explicit grain component makes semantic scope clearer.
MAIZE-009,AOM_001679,Maize Grain Ground,2,Grain,Grinding,duplicate_review,Ground maize grain,,medium,proposed,"canonical workbook AOM row 778; ani_diet rows 933-934; Feedipedia 11662",Likely overlaps generic Maize Ground; retain-ID decision requires compatibility review.
MAIZE-010,AOM_001656,Maize Dried Ground,1,unspecified,Drying;Grinding,hold,Dried ground maize grain,,low,proposed,"canonical workbook AOM row 775; ani_diet row 919",Process chain explicit but grain component inferred and drying may describe normal grain state rather than distinct transformation.
MAIZE-011,AOM_002031,Maize Dried Ground Heated,1,unspecified,Drying;Grinding;Heating,decompose,Heated dried ground whole-grain maize,,medium,proposed,"canonical workbook AOM row 776; ani_diet row 920",Raw term explicitly says whole maize meal and ordered processes; normalized component was lost.
MAIZE-012,AOM_002108,Maize Cracked,3,unspecified,Cracking,infer_component_review,Cracked maize grain,,medium,proposed,"canonical workbook AOM row 771; ani_diet rows 914-916",Cracking normally applies to grain and occurrences are concentrated maize feeds but workbook component is blank.
MAIZE-013,AOM_002119,Maize Crushed,2,unspecified,Crushing,hold,Crushed maize grain,,low,proposed,"canonical workbook AOM row 772; ani_diet rows 917-918",One occurrence maps rolled to crushed; rolling and crushing should be reviewed as distinct processes before normalization.
MAIZE-014,AOM_000570,Maize Extruded,1,unspecified,Extrusion,infer_component_review,Extruded maize grain,,medium,proposed,"canonical workbook AOM row 774; ani_diet row 924",Extruded feed is probably grain-derived but component remains implicit.
MAIZE-015,AOM_004003,Maize Yellow Grain,0,Grain,none,decompose_quality,Yellow maize grain,,medium,proposed,"canonical workbook AOM row 786; Feedipedia 11668",Grain identity plus yellow quality; no direct canonical ani_diet assignment remains.
MAIZE-016,AOM_004002,Maize Yellow,0,unspecified,none,deprecate_or_hold,Yellow maize,,medium,proposed,"canonical workbook AOM row 787; Feedipedia 11628",Colour is quality rather than separate crop identity; retain only if historical compatibility requires grouping node.
