node_id,label,node_type,module,status
AOM_000846,Farming System,aom-concept,aom-livestock,staging
AOM_000847,livestock system,aom-concept,aom-livestock,staging
AOM_000864,wild caught reproducers,aom-concept,aom-livestock,staging
AOM_000849,aquatic system,aom-concept,aom-livestock,staging
AOM_000885,living environment,aom-concept,aom-livestock,staging
AOM_000886,closed water,aom-concept,aom-livestock,staging
AOM_000888,pond,aom-concept,aom-livestock,staging
AOM_000887,tank,aom-concept,aom-livestock,staging
AOM_000889,open water,aom-concept,aom-livestock,staging
AOM_000890,cage,aom-concept,aom-livestock,staging
AOM_000891,floating cage,aom-concept,aom-livestock,staging
AOM_000892,submerged cage,aom-concept,aom-livestock,staging
AOM_000855,production orientation,aom-concept,aom-livestock,staging
AOM_000856,caviar,aom-concept,aom-livestock,staging
AOM_000857,eggs,aom-concept,aom-livestock,staging
AOM_000858,larvae,aom-concept,aom-livestock,staging
AOM_000859,domesticated larvae,aom-concept,aom-livestock,staging
AOM_000860,wild caught larvae,aom-concept,aom-livestock,staging
AOM_000861,meat,aom-concept,aom-livestock,staging
AOM_000862,reproducers,aom-concept,aom-livestock,staging
AOM_000863,domesticated reproducers,aom-concept,aom-livestock,staging
AOM_000865,rearing stage,aom-concept,aom-livestock,staging
AOM_000866,broodstock,aom-concept,aom-livestock,staging
AOM_000867,growing,aom-concept,aom-livestock,staging
AOM_000868,grower-finisher,aom-concept,aom-livestock,staging
AOM_000869,juvenile,aom-concept,aom-livestock,staging
AOM_000870,domesticated juvenile,aom-concept,aom-livestock,staging
AOM_000871,wild caught juvenile,aom-concept,aom-livestock,staging
AOM_000872,newborn,aom-concept,aom-livestock,staging
AOM_000873,pre-growout,aom-concept,aom-livestock,staging
AOM_000893,species associations,aom-concept,aom-livestock,staging
AOM_000894,mono-species,aom-concept,aom-livestock,staging
AOM_000895,group-housing,aom-concept,aom-livestock,staging
AOM_000896,individual housing,aom-concept,aom-livestock,staging
AOM_000897,multi-species,aom-concept,aom-livestock,staging
AOM_000898,integrated system,aom-concept,aom-livestock,staging
AOM_000899,aquaponic system,aom-concept,aom-livestock,staging
AOM_003052,Unspecified,aom-concept,aom-livestock,staging
AOM_000928,precision livestock farming,aom-concept,aom-livestock,staging
AOM_000929,animal device,aom-concept,aom-livestock,staging
AOM_000930,identification device,aom-concept,aom-livestock,staging
AOM_000931,sensor,aom-concept,aom-livestock,staging
AOM_000848,terrestrial system,aom-concept,aom-livestock,staging
AOM_000932,grazing,aom-concept,aom-livestock,staging
AOM_000933,paddocks,aom-concept,aom-livestock,staging
AOM_000934,set stocking,aom-concept,aom-livestock,staging
AOM_000935,strip grazing,aom-concept,aom-livestock,staging
AOM_000900,living environment,aom-concept,aom-livestock,staging
AOM_003029,barn,aom-concept,aom-livestock,staging
AOM_000912,cubicle house,aom-concept,aom-livestock,staging
AOM_003028,pen,aom-concept,aom-livestock,staging
AOM_003200,shed,aom-concept,aom-livestock,staging
AOM_000905,stall,aom-concept,aom-livestock,staging
AOM_000908,digestibility stall,aom-concept,aom-livestock,staging
AOM_000906,semi-tied stall,aom-concept,aom-livestock,staging
AOM_000907,tied stall,aom-concept,aom-livestock,staging
AOM_003027,indoor rearing structure,aom-concept,aom-livestock,staging
AOM_003030,loafing area,aom-concept,aom-livestock,staging
AOM_000914,open housing,aom-concept,aom-livestock,staging
