source_id,owner_repository,artifact,source_version,role,record_count,key_count,observed_gap
canonical-field-registry,canonical-workbook,era_master_sheet.xlsx::era_fields_v2,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,extraction-model-authoring-source,754,733,Field rows are not uniquely keyed and one populated field lacks a table.
canonical-lookup-registry,canonical-workbook,era_master_sheet.xlsx::lookup_levels,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,field-scoped-enumeration-source,682,83,Forty-one table-field pairs do not exactly match current field-registry keys.
canonical-unit-crosswalk,canonical-workbook,era_master_sheet.xlsx::unit_harmonization,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,raw-to-canonical-unit-label-crosswalk,1105,1103,Raw labels lack external identifiers; unresolved and conflicting rows remain.
published-extraction-model,ERAgriculture/era-data,vocab/version=2026.1/era_data_model.schema.json,799ace4f0322cda103781060004816b346bdca1e,published-derived-extraction-model,750,733,Fourth extraction round is omitted; duplicate logical keys remain duplicated; units are absent.
published-agronomy-product-schema,ERAgriculture/era-data,schemas/era_compiled.schema.json,799ace4f0322cda103781060004816b346bdca1e,published-agronomy-product-schema,138,138,All 138 column descriptions are blank.
published-livestock-product-schema,ERAgriculture/era-data,schemas/era_compiled_ls.schema.json,799ace4f0322cda103781060004816b346bdca1e,published-livestock-product-schema,138,138,All 138 column descriptions are blank; schema is identical to agronomy despite distinct product.
package-agronomy-data,ERAgriculture/eragri,data/ERA.Compiled.rda,c6594e1f2769cb6fff6d82a2bf66f6785c70f546,package-consumer-data-snapshot,137,137,Unversioned package snapshot has 137 columns and differs from current public schema.
package-agronomy-dictionary,ERAgriculture/eragri,data/ERACompiledFields.rda,c6594e1f2769cb6fff6d82a2bf66f6785c70f546,package-consumer-data-dictionary,106,106,Dictionary documents 106 names and does not exactly match package or public release columns.
aom-structural-bindings,ERAgriculture/era-aom,data/livestock-staging/approved_semantic_bindings.csv,03ed5c8a0e01123207efc578b65388c78bace41d6f8e9088ad13d4d3c8444506,reviewed-livestock-semantic-structure,13,13,All approved structural bindings are livestock/feed scoped.
aom-value-bindings,ERAgriculture/era-aom,data/livestock-staging/approved_semantic_value_bindings.csv,94c730dad44ed5af96c15cd95ee592e3156a00eae5e33e4002efd380d6ef28e7,reviewed-livestock-semantic-values,298,298,All approved value bindings are livestock/feed scoped.
pipeline-model-builder,ERAgriculture/era-data-pipeline,R/vocab/build_model_schema.R,4df7f01e3cd3a64e22086b16460dc3bf3825b479,schema-generation-code,,,"Generator lacks uniqueness, complete-round, relationship, unit, and source-drift gates."
public-data-model-guide,ERAgriculture/era-docs,chapters/06-data-model-vocab.qmd,afe9af7a9384871d38619a77bc733b0cb05ee778,human-facing-data-model-documentation,,,Guide overstates unit coverage and does not disclose current contract drift.
