feed_material_id,feed_material_label,target_property,target_concept_id,target_label,review_axis,recommended_disposition,status,reviewer,review_date,evidence,rationale,rule_id
AOM_001326,Whole-crop maize silage,aom:compositionState,AOM_101086,Whole-crop composition,composition,move-to-component-integrity,approved,Pete Steward,2026-08-05,review/livestock-v4/MAIZE_IDENTITY_REVIEW.md,Canonical occurrences and public feed authorities identify maize silage as whole-crop material.,
AOM_000656,Ground whole-grain rice,aom:compositionState,AOM_101110,Whole-grain composition,composition,move-to-component-integrity,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole rice retains grain fractions while grinding remains an independent process.,
AOM_000660,Ground whole-grain wheat,aom:compositionState,AOM_101110,Whole-grain composition,composition,move-to-component-integrity,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole wheat retains grain fractions while grinding remains an independent process.,
AOM_001313,Whole-grain maize,aom:compositionState,AOM_101110,Whole-grain composition,composition,move-to-component-integrity,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Crop-product context distinguishes whole-grain maize from source maize and whole-crop silage.,
AOM_001324,Ground whole-grain maize,aom:compositionState,AOM_101110,Whole-grain composition,composition,move-to-component-integrity,approved,Pete Steward,2026-08-05,docs/decisions/0018-whole-grain-integrity.md,Whole-grain integrity and grinding are independent assertions.,
AOM_000555,Whole Milk,aom:compositionState,AOM_101116,Whole-milk composition,composition,hold-for-cohort-e,approved,Pete Steward,2026-08-06,docs/decisions/0020-ingredient-semantic-closure.md,Whole milk denotes composition rather than physical wholeness.,
AOM_000611,Soybean Full Fat Cake,aom:compositionState,AOM_101134,Native-fat-retained composition,composition,hold-for-cohort-e,approved,Pete Steward,2026-08-06,0141;2191;http://aims.fao.org/aos/agrovoc/c_16043;http://purl.obolibrary.org/obo/NCBITaxon_3847;wfo-0000181462,Explicit descriptor “full fat” mapped through hard-tail decision AOM_000611; assertion 1.,
AOM_001317,Soybean Full Fat,aom:compositionState,AOM_101134,Native-fat-retained composition,composition,hold-for-cohort-e,approved,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v20/final_definition_tail_register.csv,Explicit descriptor “full fat” mapped through hard-tail decision AOM_001317; assertion 1.,
AOM_001359,Onion Bulb,aom:ingredientPart,AOM_101024,Bulb,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,01253;http://purl.obolibrary.org/obo/NCBITaxon_4679;wfo-0000755919,Explicit descriptor “bulb” mapped through hard-tail decision AOM_001359; assertion 1.,
AOM_001914,Opuntia ficus indica Cladode,aom:ingredientPart,AOM_101025,Cladode,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11595,Explicit descriptor “cladode” mapped through hard-tail decision AOM_001914; assertion 1.,
AOM_002154,Opuntia stricta Cladode,aom:ingredientPart,AOM_101025,Cladode,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_701516;wfo-0000385755,Explicit descriptor “cladode” mapped through hard-tail decision AOM_002154; assertion 1.,
AOM_000569,Maize Cob,aom:ingredientPart,AOM_101026,Cob,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-COB
AOM_001943,Maize Cob Ensiled,aom:ingredientPart,AOM_101026,Cob,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-COB
AOM_002083,Maize Cob Ensiled Urea Treated,aom:ingredientPart,AOM_101026,Cob,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-COB
AOM_006071,Maize Cob Ground,aom:ingredientPart,AOM_101026,Cob,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-COB
AOM_006218,Maize Cob Enzyme Treated Ground,aom:ingredientPart,AOM_101026,Cob,material-component,move-under-plant-anatomy,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-COB
AOM_001818,Ensete ventricosum Corm,aom:ingredientPart,AOM_101027,Corm,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,https://www.feedipedia.org/node/22889,Explicit descriptor “corm” mapped through hard-tail decision AOM_001818; assertion 1.,
AOM_000664,Ripe Avocado,aom:ingredientPart,AOM_101028,Fruit,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;review/livestock-v23/final_tail_cohort.csv,Explicit descriptor “avocado” mapped through hard-tail decision AOM_000664; assertion 1.,
AOM_001603,Acacia tortilis Fruits,aom:ingredientPart,AOM_101028,Fruit,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_50;http://purl.obolibrary.org/obo/NCBITaxon_138046;wfo-0001428832,Explicit descriptor “fruits” mapped through hard-tail decision AOM_001603; assertion 1.,
AOM_001654,Dichrostachys cinerea Fruits,aom:ingredientPart,AOM_101028,Fruit,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_196665;wfo-0000195972,Explicit descriptor “fruits” mapped through hard-tail decision AOM_001654; assertion 1.,
AOM_001761,Acacia etbaica Fruits,aom:ingredientPart,AOM_101028,Fruit,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_1323858907498;http://purl.obolibrary.org/obo/NCBITaxon_546664;wfo-0000195087,Explicit descriptor “fruits” mapped through hard-tail decision AOM_001761; assertion 1.,
AOM_001848,Ficus sur Fruits,aom:ingredientPart,AOM_101028,Fruit,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_100575;wfo-0000690530,Explicit descriptor “fruits” mapped through hard-tail decision AOM_001848; assertion 1.,
AOM_002111,Opuntia ficus indica Fruits,aom:ingredientPart,AOM_101028,Fruit,material-component,move-under-plant-anatomy,approved,Pete Steward,2026-08-06,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_371859;wfo-0000385761,Explicit descriptor “fruits” mapped through hard-tail decision AOM_002111; assertion 1.,
AOM_000605,Groundnut Hull,aom:ingredientPart,AOM_101030,Hull,material-component,hold-exact-anatomical-scope,approved,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12155,Explicit descriptor “hull” mapped through hard-tail decision AOM_000605; assertion 1.,
AOM_000576,Rice Husk,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_000602,Cowpea Husk,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_000606,Groundnut Husk Ground,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
AOM_001183,Cocoa Pods Husk,aom:ingredientPart,AOM_101031,Husk,material-component,hold-exact-anatomical-scope,approved-generated,Pete Steward,2026-08-05,data/livestock-staging/approved_ingredient_harmonization_rules.csv,Generated from approved rule under recorded guard; legacy material identity preserved.,COMPONENT-HUSK
