subject_id,preferred_label,target_scheme,target_id,target_uri,original_value,mapping_relation,decision,publish,status,definition_evidence_grade,reviewer,review_date,evidence,rationale
AOM_000538,Bone Ash,agrovoc,c_1000,http://aims.fao.org/aos/agrovoc/c_1000,http://aims.fao.org/aos/agrovoc/c_1000,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://aims.fao.org/aos/agrovoc/c_1000,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000538,Bone Ash,cpc-product,39110,,39110,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,39110,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000538,Bone Ash,feedipedia,11876,https://www.feedipedia.org/node/11876,https://www.feedipedia.org/node/11876,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11876,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000540,Bone,cpc-product,39110,,39110,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,39110,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000540,Bone,feedipedia,11876,https://www.feedipedia.org/node/11876,https://www.feedipedia.org/node/11876,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/11876,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000557,Oyster Shells,feedipedia,736,https://www.feedipedia.org/node/736,https://www.feedipedia.org/node/736,relatedMatch,retain_related_evidence_hold,true,review-held,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/736,Target may remain discoverable as related evidence but cannot support identity or definition while warned or unreachable.
AOM_000557,Oyster Shells,ncbi-taxonomy,NCBITaxon_6563,http://purl.obolibrary.org/obo/NCBITaxon_6563,http://purl.obolibrary.org/obo/NCBITaxon_6563,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,http://purl.obolibrary.org/obo/NCBITaxon_6563,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000558,Shell,feedipedia,736,https://www.feedipedia.org/node/736,https://www.feedipedia.org/node/736,relatedMatch,retain_related_evidence_hold,true,review-held,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/736,Target may remain discoverable as related evidence but cannot support identity or definition while warned or unreachable.
AOM_000571,Maize Offal,cpc-product,0112,,0112,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,0112,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
AOM_000571,Maize Offal,feedipedia,12280,https://www.feedipedia.org/node/12280,https://www.feedipedia.org/node/12280,relatedMatch,retain_related_nondefinitional,true,reviewed-related,insufficient,Pete Steward,2026-08-06,https://www.feedipedia.org/node/12280,"Cross-domain or granularity-mismatched target is useful related evidence, not synonymy or definition-grade identity evidence."
