route_id,sheet,recommended_decision,final_decision,conditions_or_holds,reviewer,review_date,approval_status
RR-01,bibliography,accept-exclusion-with-retained-provenance,accept-exclusion-with-retained-provenance,"Future promotion requires rights, lifecycle, and semantic review.",P. Steward,2026-08-28,accepted
RR-02,era_fields_v1,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-03,era_fields_v2,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-04,prac,revise-to-cross-domain-row-routing,revise-to-cross-domain-row-routing,"Apply accepted ADR 0053; retain module and row-level identity holds.",P. Steward,2026-08-28,accepted
RR-05,prod,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-06,lookup_levels,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-07,prod_comp,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-08,out,revise-to-cross-domain-row-routing,revise-to-cross-domain-row-routing,"Apply accepted ADR 0053; retain module and row-level identity holds.",P. Steward,2026-08-28,accepted
RR-09,out_econ,revise-to-cross-domain-row-routing,revise-to-cross-domain-row-routing,"Apply accepted ADR 0053; retain module and row-level identity holds.",P. Steward,2026-08-28,accepted
RR-10,fert,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-11,chem,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-12,countries,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-13,trees,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-14,journals,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-15,site_list,hold-publication-review,hold-publication-review,"Do not publish coordinates or approve public disposition before explicit privacy review.",P. Steward,2026-08-28,accepted
RR-16,residues,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-17,vars,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-18,vars_animals,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-19,var_traits,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-20,AOM READ.ME,accept-exclusion-with-retained-provenance,accept-exclusion-with-retained-provenance,"Future promotion requires rights, lifecycle, and semantic review.",P. Steward,2026-08-28,accepted
RR-21,AOM,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-22,ani_diet,accept-supporting-evidence-route,accept-supporting-evidence-route,"Do not publish as an independent sibling concept scheme.",P. Steward,2026-08-28,accepted
RR-23,ani_process,accept-supporting-evidence-route,accept-supporting-evidence-route,"Do not publish as an independent sibling concept scheme.",P. Steward,2026-08-28,accepted
RR-24,ssa_feedsdb,retain-confirmed-restricted-exclusion,retain-confirmed-restricted-exclusion,"Only rights-safe reviewed assertions with provenance may leave controlled source.",P. Steward,2026-08-28,accepted
RR-25,AOM_diets,accept-supporting-evidence-route,accept-supporting-evidence-route,"Do not publish as an independent sibling concept scheme.",P. Steward,2026-08-28,accepted
RR-26,unit_harmonization,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-27,dois,accept-exclusion-with-retained-provenance,accept-exclusion-with-retained-provenance,"Future promotion requires rights, lifecycle, and semantic review.",P. Steward,2026-08-28,accepted
RR-28,aez,accept-proposed-route-with-row-review,accept-proposed-route-with-row-review,"Route approval does not approve row semantics or publication; preserve wave gates.",P. Steward,2026-08-28,accepted
RR-29,dups,accept-exclusion-with-retained-provenance,accept-exclusion-with-retained-provenance,"Future promotion requires rights, lifecycle, and semantic review.",P. Steward,2026-08-28,accepted
RR-30,OLD_diet_process,accept-exclusion-with-retained-provenance,accept-exclusion-with-retained-provenance,"Future promotion requires rights, lifecycle, and semantic review.",P. Steward,2026-08-28,accepted
RR-31,OLD_diet_item,accept-exclusion-with-retained-provenance,accept-exclusion-with-retained-provenance,"Future promotion requires rights, lifecycle, and semantic review.",P. Steward,2026-08-28,accepted
RR-32,OLD_era_fields_v1,accept-exclusion-with-retained-provenance,accept-exclusion-with-retained-provenance,"Future promotion requires rights, lifecycle, and semantic review.",P. Steward,2026-08-28,accepted
RR-33,scio - Custom Terms,hold-provenance-review,hold-provenance-review,"Do not mint identities or mappings from labels alone.",P. Steward,2026-08-28,accepted
