evidence_id,evidence_type,title,locator,version_or_date,sha256,supports,claim_boundary
E-SRC-WORKBOOK,canonical-source,"ERA master workbook: prac, out, and out_econ sheets",governed local canonical workbook,snapshot reviewed 2026-08-24,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Source rows, labels, definitions, source hierarchy, flags, codes, and operational fields.",Workbook layout and codes do not by themselves establish ontology identity or public hierarchy.
E-PILOT,repository-snapshot,Current prac/out pilot normalized data,../../data/pilot/,branch base 2026-08-24,,"Current generated IDs, labels, properties, hierarchy, and source-row links.",Pilot status is provisional and does not authorize public identity or semantics.
E-AOM-STAGING,repository-snapshot,"AOM livestock staging labels, definitions, concepts, and mappings",../../data/livestock-staging/,branch base 2026-08-24,,Published or staged AOM identity candidates and legacy ERA code mappings.,"legacy-unreviewed mappings and same labels are evidence candidates, not approved equivalence."
E-SKOS,standard,W3C SKOS Simple Knowledge Organization System Reference,https://www.w3.org/TR/skos-reference/,W3C Recommendation,,"Concept, scheme, semantic relation, mapping, and collection semantics.","Does not establish domain identity, field schema, or observation procedure."
E-SOSA,standard,W3C SOSA/SSN 2023,https://www.w3.org/TR/vocab-ssn-2023/,2023 specification,,"Property, observation, feature of interest, procedure, and result model.",Does not establish ERA row identity or reporting hierarchy.
E-CROP-ONTOLOGY,domain-authority,Crop Ontology,https://cropontology.org/about,accessed 2026-08-24,,Crop phenotypic variable trait-method-scale pattern.,"Does not cover all practice, livestock, social, energy, and economic variables."
E-AUTH-AGRO-SNAPSHOT,ontology-snapshot,AgrO official repository agro.owl snapshot,https://raw.githubusercontent.com/AgriculturalSemantics/agro/master/agro.owl,downloaded 2026-08-24; ontology version IRI reports 2022-11-02,d861a6fbf09e01fffcf4312dee29f20a15a1a4a65b2a7012e50c02f65a495b55,Exact-label authority candidates for agronomic practices and imported OBO terms.,Exact labels and imported terms do not prove identity equivalence.
E-AGROVOC,domain-authority,FAO AGROVOC,https://agrovoc.fao.org/,accessed 2026-08-24,,Broad multilingual agricultural terminology and later mapping candidates.,Does not establish ERA experiment-variable identity or automatic parentage.
E-FOODON,domain-authority,FoodOn food transformation process facet,https://foodon.org/food-facets/food-transformation-process/,accessed 2026-08-24,,Postharvest and food-process transformation and output modeling.,"Does not cover field management, study roles, or accounting variables."
E-QUDT,standard-vocabulary,QUDT catalog,https://www.qudt.org/catalog/qudt-catalog.html,accessed 2026-08-24,,"Quantities, units, dimensions, and quantity kinds.",Does not establish agricultural property identity or derivation procedure.
E-FSDN,accounting-authority,EU Farm Sustainability Data Network,https://agriculture.ec.europa.eu/data-and-analysis/farm-structures-and-economics/fsdn_en,accessed 2026-08-24,,"Farm bookkeeping, output, cost, input, and asset scope.",Does not directly identify ERA study variables.
E-SEEA-AFF,accounting-standard,FAO SEEA Agriculture Forestry and Fisheries,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/Publications/Agrienvironmental/SEEA_AFF_FINAL_Clean_03.pdf,official publication,,"Output, consumption, capital, inventories, and income-account boundaries.",Macro and sector accounting scope does not determine experiment-variable identity.
E-SNA,accounting-standard,UN System of National Accounts,https://unstats.un.org/unsd/Nationalaccount/sna.asp,accessed 2026-08-24,,International economic-accounting concept boundaries.,Too broad for direct ERA farm-trial row mapping.
E-ADR0053-GUIDED,governance-decision-proposal,ADR 0053 guided-review recommendation,../../docs/decisions/0053-agricultural-practice-outcome-and-economic-variable-foundation.md,2026-08-28,,Twelve consolidated guided-decision recommendations and implementation gates.,Proposed ADR and recommendation artifacts do not record human approval or authorize implementation.
E-AGRO-DEFINITION-REVIEW,official-ontology-snapshot-review,AgrO definition and entity-type review,https://github.com/AgriculturalSemantics/agro/blob/master/agro.owl,snapshot reviewed 2026-08-28,d861a6fbf09e01fffcf4312dee29f20a15a1a4a65b2a7012e50c02f65a495b55,Definition and entity-type comparison for 26 exact-label candidates.,Snapshot comparison supports candidate dispositions only; no mapping relation is approved.
