source_sheet,source_row,source_id,source_label,authority,authority_id,authority_uri,authority_label,match_signal,recommended_disposition,status,claim_boundary,evidence_id,guided_disposition,candidate_relation,guided_status,approval_status,guided_rationale
out,51,out:217,Erosion,ENVO imported through AgrO,ENVO_01001346,http://purl.obolibrary.org/obo/ENVO_01001346,erosion,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,Source row is an observed property; authority term denotes process or material entity.
out,53,out:223,Soil Organic Matter,ENVO imported through AgrO,ENVO_04000008,http://purl.obolibrary.org/obo/ENVO_04000008,soil organic matter,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,Source row is an observed property; authority term denotes process or material entity.
out_econ,7,out_econ:row:7,Inorganic Fertilizer,AgrO,AGRO_00002040,http://purl.obolibrary.org/obo/AGRO_00002040,inorganic fertilizer,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
out_econ,8,out_econ:row:8,Organic Fertilizer,AgrO,AGRO_00002039,http://purl.obolibrary.org/obo/AGRO_00002039,organic fertilizer,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
out_econ,10,out_econ:row:10,Mulch,AgrO,AGRO_00000092,http://purl.obolibrary.org/obo/AGRO_00000092,mulch,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
out_econ,12,out_econ:row:12,Biochar,AgrO,AGRO_00020002,http://purl.obolibrary.org/obo/AGRO_00020002,biochar,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
out_econ,12,out_econ:row:12,Biochar,ENVO imported through AgrO,ENVO_2000007,http://purl.obolibrary.org/obo/ENVO_2000007,biochar,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
out_econ,13,out_econ:row:13,Plastic Mulch,AgrO,AGRO_00000093,http://purl.obolibrary.org/obo/AGRO_00000093,plastic mulch,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
out_econ,17,out_econ:row:17,Fungicide,ChEBI imported through AgrO,CHEBI_24127,http://purl.obolibrary.org/obo/CHEBI_24127,fungicide,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
out_econ,28,out_econ:row:28,Fuel,ChEBI imported through AgrO,CHEBI_33292,http://purl.obolibrary.org/obo/CHEBI_33292,fuel,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
out_econ,51,out_econ:row:51,Tillage,AgrO,AGRO_01000015,http://purl.obolibrary.org/obo/AGRO_01000015,tillage,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,"Source row is an economic measure; authority term denotes cost object, input, material, or activity."
prac,8,prac:a8.1,Scattered Trees,AgrO,AGRO_00010164,http://purl.obolibrary.org/obo/AGRO_00010164,scattered trees,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,reject-identity-use-as-facet-evidence,none,proposed,pending,Source row denotes incorporation or management system; authority term denotes scattered trees as landscape entities.
prac,11,prac:a11,Silvopasture,AgrO,AGRO_00000580,http://purl.obolibrary.org/obo/AGRO_00000580,silvopasture,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,candidate-close-match,skos:closeMatch-after-human-approval,proposed,pending,Definitions and entity types substantially align; exact equivalence remains unapproved.
prac,13,prac:a12,Multistrata Agroforestry,AgrO,AGRO_00000581,http://purl.obolibrary.org/obo/AGRO_00000581,multistrata agroforestry,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,candidate-close-match,skos:closeMatch-after-human-approval,proposed,pending,Definitions and entity types substantially align; exact equivalence remains unapproved.
prac,46,prac:d16,Rotational Grazing,AgrO,AGRO_00000430,http://purl.obolibrary.org/obo/AGRO_00000430,rotational grazing,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,candidate-close-match,skos:closeMatch-after-human-approval,proposed,pending,Definitions and entity types substantially align; exact equivalence remains unapproved.
prac,49,prac:d19,Controlled Grazing,AgrO,AGRO_00000434,http://purl.obolibrary.org/obo/AGRO_00000434,controlled grazing,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,hold-definition-overlap,none,held,pending,Source controlled-grazing definition overlaps rotational grazing and is broader than authority intensive rotational scope.
prac,62,prac:b54,Supplemental Irrigation,AgrO,AGRO_00000588,http://purl.obolibrary.org/obo/AGRO_00000588,supplemental irrigation,normalized-exact-label,identity-mapping-review-required,held,"Exact label is candidate evidence only; scope, definition, and entity type remain unverified.",E-AUTH-AGRO-SNAPSHOT,candidate-close-match,skos:closeMatch-after-human-approval,proposed,pending,Definitions and entity types substantially align; exact equivalence remains unapproved.
