sheet_order,sheet,inventory_resource_type,publication_disposition,disposition_status,nonblank_rows,columns,target_product,owner_repository,recommended_treatment,current_coverage_state,normalized_source_rows,migration_wave,next_action
1,bibliography,operational,exclude,proposed,0,0,operational-source-management,era-data-pipeline,operational-evidence,excluded-operational,0,hold,Keep source management outside public concept schemes; publish only governed provenance derived from it.
2,era_fields_v1,data_model,public,proposed,136,4,era-data-schema;aom-core-bindings,era-data;era-aom,schema-with-semantic-bindings,inventory-only-legacy-schema,0,1-data-model-and-core,Retain as migration history; do not create one SKOS concept per field.
3,era_fields_v2,data_model,public,proposed,753,32,era-data-schema;aom-core-bindings,era-data;era-aom,schema-with-semantic-bindings,inventory-only-current-schema,0,1-data-model-and-core,"Formalize fields, datatypes, cardinalities, lookups, and semantic bindings before additional domain migration."
4,prac,concept_scheme,public,proposed,196,14,aom-crop,era-aom,concept-scheme,pilot-normalized,196,2-crop-observation-foundation,"Review pilot identities, hierarchy, definitions, and mappings before release promotion."
5,prod,concept_scheme,public,proposed,414,30,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,3-crop-products-and-components,"Decompose biological source, harvested product, component, management flags, and external mappings before normalization."
6,lookup_levels,data_model,public,proposed,682,21,era-data-code-lists;aom-core-bindings,era-data;era-aom,mixed-code-list-source,inventory-only,0,1-data-model-and-core,Route values by field; do not publish one undifferentiated ontology hierarchy.
7,prod_comp,concept_scheme,public,proposed,81,4,aom-crop,era-aom,concept-scheme,inventory-only,0,3-crop-products-and-components,Normalize components with reviewed identity links to products and biological sources.
8,out,concept_scheme,public,proposed,116,20,aom-crop,era-aom,concept-scheme,pilot-normalized,116,2-crop-observation-foundation,Review pilot outcome hierarchy and bind outcome variables and quantities before promotion.
9,out_econ,concept_scheme,public,proposed,65,4,aom-crop,era-aom,concept-scheme,inventory-only,0,2-crop-observation-foundation,Integrate economic outcomes with the reviewed outcome scheme rather than publish a disconnected tree.
10,fert,concept_scheme,public,proposed,283,20,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,4-crop-inputs-and-chemicals,"Separate fertilizer material identity, nutrient composition, application role, compound formulation, and ChEBI mapping."
11,chem,concept_scheme,public,proposed,319,18,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,4-crop-inputs-and-chemicals,"Separate commercial product, active ingredient, chemical identity, use context, and ChEBI mapping."
12,countries,code_list,public,proposed,77,6,era-data-code-lists;mappings,era-data,reference-code-list,inventory-only,0,7-reference-context-and-crosswalks,Publish governed ISO mappings and spatial metadata outside domain concept hierarchies.
13,trees,concept_scheme,public,proposed,217,13,aom-crop;mappings,era-aom,mixed-concept-source,inventory-only,0,5-biological-identity-and-traits,"Separate taxon identity, variety or subspecies, functional traits, management flags, and WFO or GBIF mappings."
14,journals,code_list,public,proposed,528,2,era-data-provenance,era-data,reference-code-list,inventory-only,0,7-reference-context-and-crosswalks,"Treat as source-name normalization, not agricultural ontology concepts."
15,site_list,code_list,review,proposed,808,10,era-data-location-registry,era-data,restricted-review-code-list,publication-review-required,0,7-reference-context-and-crosswalks,Complete sensitivity review before any publication; never move coordinates into AOM concepts.
16,residues,crosswalk,public,proposed,73,2,aom-crop;mappings,era-aom,crosswalk,inventory-only,0,3-crop-products-and-components,Preserve original-to-harmonized mappings and resolve identities with crop product and by-product review.
