concept_id,preferred_label,recommended_group,mapping_status,authority,authority_id,authority_label,recommended_mapping_relation,evidence_ids,rationale,blocking_question
AOM_101046,Bark,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0004518,bark,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101024,Bulb,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0025356,bulb,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101025,Cladode,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0025354,cladode,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101026,Cob,Plant anatomical components candidate,exact-mapping-pending,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101027,Corm,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0025355,corm,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101153,Endosperm,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0009089,endosperm,review for skos:exactMatch,PLANT-ONTOLOGY;PO-ENDOSPERM,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101117,Flower,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0009046,flower,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101028,Fruit,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0009001,fruit,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101029,Germ,semantic split required,related-only-semantic-split,Plant Ontology;EU Catalogue,PO:0009009,plant embryo,skos:relatedMatch only until split,PO-EMBRYO;EU-FEED-CATALOGUE;FOODON-PINNED,Germ is only related synonym for embryo while commercial maize germ is process-defined mixed-tissue product.,Which stable ID retains anatomical meaning and how are commercial germ materials represented?
AOM_101074,Grain,hold outside exact anatomy,vernacular-or-collective-hold,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101030,Hull,hold outside exact anatomy,vernacular-or-collective-hold,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101031,Husk,hold outside exact anatomy,vernacular-or-collective-hold,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101032,Kernel,hold outside exact anatomy,vernacular-or-collective-hold,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101033,Leaf,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0025034,leaf,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101122,Liver,Animal anatomical components,exact-label-candidate,Uberon,UBERON:0002107,liver,review for skos:exactMatch,UBERON,Uberon contains same preferred label; definition and source-species scope remain implementation gates.,Does AOM definition match Uberon entity without feed-product meaning?
AOM_101034,Peel,hold outside exact anatomy,vernacular-or-collective-hold,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101048,Plant top,hold outside exact anatomy,vernacular-or-collective-hold,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101035,Pod,Plant anatomical components candidate,exact-mapping-pending,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101036,Pseudostem,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0025248,pseudostem,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101121,Rhizome,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0004542,rhizome,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101037,Root,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0009005,root,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101038,Seed,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0009010,seed,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101039,Sheath,Plant anatomical components candidate,exact-mapping-pending,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101040,Shell component,source-specific split required,ambiguous-biological-source,Plant Ontology;Uberon,,,none pending source split,PLANT-ONTOLOGY;UBERON,"Shell can denote plant covering, animal shell, or processed material; one unqualified anatomy value is unsafe.",Which source-specific structures occur in current materials?
AOM_101041,Sprout,hold outside exact anatomy,vernacular-or-collective-hold,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101042,Stalk,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0025066,stalk,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101047,Stem,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0009047,stem,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101043,Tuber,Plant anatomical components,exact-label-candidate,Plant Ontology,PO:0025522,tuber,review for skos:exactMatch,PLANT-ONTOLOGY,Pinned Plant Ontology contains same preferred label; definition comparison remains required before asserting exact mapping.,Does AOM definition and every current use match external anatomical scope across taxa?
AOM_101045,Twig,Plant anatomical components candidate,exact-mapping-pending,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101107,Vine,Plant anatomical components candidate,exact-mapping-pending,Plant Ontology;FoodOn,,,none pending concept-level review,PLANT-ONTOLOGY;FOODON-PINNED,Label is plant-oriented but exact anatomical identity is not established by current generic definition.,What exact taxon-aware anatomy or material meaning matches current uses?
AOM_101044,Viscera,Animal anatomical components,close-collective-candidate,Uberon,UBERON:0002075,viscus,review for skos:closeMatch,UBERON,Current plural collective descriptor may be broader than singular Uberon viscus.,"Is Viscera one anatomy collection, generic organ category, or offal material identity?"
