source_name,accepted_name,rank,legacy_ncbi_taxon_id,proposed_ncbi_taxon_id,decision_action,status,reviewer,review_date,evidence,rationale
Chloris,Chloris,genus,NCBITaxon_66011,NCBITaxon_66011,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=66011,Preserve exact plant genus rank.
Hyparrhenia,Hyparrhenia,genus,NCBITaxon_42078,NCBITaxon_42078,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42078,Preserve exact plant genus rank.
Pennisetum,Pennisetum,genus,NCBITaxon_4541,NCBITaxon_4541,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4541,Preserve exact plant genus rank.
Tripsacum laxum,Tripsacum laxum,species,NCBITaxon_2851936,NCBITaxon_47471,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=47471,Legacy identifier resolves to Schizachyrium jeffreysii; replace with exact species identifier.
Fabaceae,Fabaceae,family,NCBITaxon_3803,NCBITaxon_3803,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3803,Preserve exact plant family rank.
Bothriochloa,Bothriochloa,genus,NCBITaxon_79826,NCBITaxon_79826,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=79826,Preserve exact plant genus rank.
Andropogon,Andropogon,genus,NCBITaxon_15314,NCBITaxon_15314,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=15314,Preserve exact plant genus rank.
Lemna,Lemna,genus,NCBITaxon_4469,NCBITaxon_4469,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4469,Preserve exact plant genus rank.
Aristida,Aristida,genus,NCBITaxon_121766,NCBITaxon_38709,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=38709,Legacy identifier resolves to Aristida adscensionis; replace with exact genus identifier.
Asteraceae,Asteraceae,family,NCBITaxon_4210,NCBITaxon_4210,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4210,Preserve exact plant family rank.
Cenchrus longisetus,Cenchrus longisetus,species,NCBITaxon_29694,NCBITaxon_29694,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=29694,Use exact current species name at identifier also governed for source synonym Pennisetum villosum.
Cynodon,Cynodon,genus,,NCBITaxon_15437,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=15437,Feed context selects plant genus rather than vertebrate homonym NCBITaxon_210603.
Leucaena,Leucaena,genus,NCBITaxon_3865,NCBITaxon_3865,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=3865,Preserve exact plant genus rank.
Ocimum gratissimum,Ocimum gratissimum,species,NCBITaxon_204144,NCBITaxon_204144,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=204144,Preserve exact species binding.
Pennisetum petiolare,,,,,hold_unresolved,proposed-for-review,,,,No exact NCBI Taxonomy record; genus-level fallback would discard explicit species epithet.
Bothriochloa insculpta,Bothriochloa insculpta,species,NCBITaxon_79826,NCBITaxon_106883,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=106883,Legacy identifier resolves to genus; replace with exact species identifier.
Desmodium,Desmodium,genus,NCBITaxon_53866,NCBITaxon_53866,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=53866,Preserve exact plant genus rank.
Digitaria ternata,Digitaria ternata,species,NCBITaxon_66017,NCBITaxon_977937,replace_incorrect,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=977937,Legacy identifier resolves to genus; replace with exact species identifier.
Eragostris tremula,Eragrostis tremula,species,,NCBITaxon_208289,accept_as_misspelling,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=208289,Correct transposed letters in genus and retain explicit species epithet.
Grewia,Grewia,genus,NCBITaxon_82407,NCBITaxon_82407,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=82407,Preserve exact plant genus rank.
Stylosanthes scabra,Stylosanthes scabra,species,NCBITaxon_79078,NCBITaxon_79078,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=79078,Preserve exact species binding.
Triticale,x Triticosecale,genus,NCBITaxon_49317,NCBITaxon_49317,accept_as_synonym,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=49317,Use current NCBI hybrid-genus name at unchanged identifier.
Tripsacum,Tripsacum,genus,NCBITaxon_4562,NCBITaxon_4562,accept_existing,proposed-for-review,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=4562,Preserve exact plant genus rank.
