review_id,priority,review_topic,original_question,recommended_decision,decision_detail,conditions_or_holds,evidence,recommendation_status,human_decision,reviewer,review_date,decision_note
GR-01,1,Approve cross-domain scope and module routing,Are prac and out accepted as cross-domain source registries rather than crop-only schemes?,accept,"Govern prac, out, and out_econ as cross-domain source registries and route approved identities row by row.",Energy and cookstove rows remain on module hold.,pilot_contract_audit.csv#PC-01,proposed,,,,
GR-02,1,Approve source-code contract,Should source codes remain lexical with eight governed artifact corrections and no automatic .0 suffixes?,accept-with-revision,Govern source codes as lexical identifiers and preserve displayed notation without automatic numeric formatting.,Replace the question's inaccurate reference to eight corrections with the audited 58 pilot notation mutations and 65 placeholder economic identifiers.,source_quality_issues.csv,proposed,,,,
GR-03,1,Approve navigation model,"Should theme, pillar, subpillar, and indicator levels become reporting collections by default?",accept-with-revision,"Model theme, pillar, subpillar, and indicator navigation as collections by default.",Use scoped collection labels where a collection and member property or practice otherwise share a preferred label; require evidence for every semantic broader relation.,hierarchy_node_review.csv,proposed,,,,
GR-04,1,Approve identity reuse rule,Should exact label-definition matches prefer existing stable AOM IDs after module review?,accept-with-conditions,"Give stable AOM identifiers priority only after compatible identity, entity type, lifecycle, module, label, and definition are confirmed.","Exact labels, definitions, source codes, legacy mappings, and hierarchy remain evidence signals rather than automatic equivalence.",identity_collision_audit.csv,proposed,,,,
GR-05,1,Approve practice-context split,"Should practice identity be separate from application, absence, baseline, treatment, and comparator role?",accept,"Separate practice identity, practice application, baseline or condition, and experimental treatment, comparator, or control role.",Do not encode study role or unspecified state in preferred practice identity.,source_row_dispositions.csv,proposed,,,,
GR-06,1,Approve outcome-variable model,"Should outcomes use sosa:Property plus procedure, feature, quantity, unit/basis, and derivation?",accept,"Model reviewed outcomes as sosa:Property specifications with explicit feature, procedure, quantity, unit or basis, and derivation where applicable.",Trait-method-scale and QUDT bindings require domain and claim-level evidence.,shared_core_candidate_review.csv,proposed,,,,
GR-07,2,Review practice parent groups,Which generated practice parents are true broader concepts versus editorial collections or duplicates?,accept-policy-with-holds,"Convert 43 editorial nodes to collections, collapse 13 duplicate group-and-leaf nodes, and hold 53 candidate practice groups for extensional review.",No generated practice parent is promoted as a concept solely from worksheet structure.,hierarchy_node_review.csv,proposed,,,,
GR-08,2,Review same-label distinct identities,"Confirm field Urea, Ash, crop Heat Tolerance, and generic Unspecified remain distinct from AOM feed or animal concepts.",revise-and-decompose,"Replace same-label distinct-context minting with explicit practice, material, trait or variety, and missing-value decomposition.","Urea and ash rows are application practices linked to materials; heat tolerance is crop-variety use plus trait; Unspecified is field-scoped missing information, not a public global identity.",identity_collision_audit.csv,proposed,,,,
GR-09,2,Review economic source defects,"Correct missing, swapped, example-only, and ambiguous definitions before identifier allocation.",accept-source-correction-gate,"Correct or explicitly hold economic definition, label, placeholder identifier, and contextual-category defects before identifier allocation.",Correction proposals require source-owner approval and canonical workbook update before regeneration.,source_quality_issues.csv,proposed,,,,
GR-10,2,Review economic decomposition,"Should cost/benefit category, object, transaction, actor, time/basis, currency, and valuation method be explicit facets?",accept,"Decompose economic measure, cost or benefit category, object, activity, actor, transaction, time, currency, denominator, allocation basis, and valuation method.",Fixed or variable classification remains contextual unless evidence proves it intrinsic.,source_row_dispositions.csv,proposed,,,,
GR-11,3,Review external mapping candidates,"Do AgrO, ENVO, and ChEBI exact-label candidates match source definitions and entity types?",accept-individual-review,"Review every external candidate by definition, scope, and entity type; retain four strong close-match candidates and one conditional close-match candidate.",No external mapping is approved. One practice candidate remains definition-overlap hold; 20 exact-label candidates are non-identity facet or relation evidence.,authority_label_candidates.csv,proposed,,,,
GR-12,3,Resolve energy module boundary,"Where should cookstove, biodigester, and energy-management identities live?",hold-module-boundary,Keep all 14 energy and cookstove rows in an unassigned agricultural or household energy boundary.,"Do not force them into core, crop, or livestock and do not mint a new module until a later architecture decision establishes sufficient scope.",source_row_dispositions.csv,proposed,,,,
