review_id,priority,review_topic,review_question,primary_evidence,recommended_starting_decision,blocks_promotion,review_status,reviewer,review_date,decision_note
GR-01,1,Approve cross-domain scope and module routing,Are prac and out accepted as cross-domain source registries rather than crop-only schemes?,pilot_contract_audit.csv#PC-01,Approve route-by-row and rename pilot schemes.,yes,pending,,,
GR-02,1,Approve source-code contract,Should source codes remain lexical with eight governed artifact corrections and no automatic .0 suffixes?,source_quality_issues.csv,Approve lexical preservation plus explicit crosswalks.,yes,pending,,,
GR-03,1,Approve navigation model,"Should theme, pillar, subpillar, and indicator levels become reporting collections by default?",hierarchy_node_review.csv,Approve collection membership; require evidence for skos:broader.,yes,pending,,,
GR-04,1,Approve identity reuse rule,Should exact label-definition matches prefer existing stable AOM IDs after module review?,identity_collision_audit.csv,Approve stable-ID reuse candidates; keep ambiguous mappings held.,yes,pending,,,
GR-05,1,Approve practice-context split,"Should practice identity be separate from application, absence, baseline, treatment, and comparator role?",source_row_dispositions.csv,Approve shared core candidates SC-01 through SC-06.,yes,pending,,,
GR-06,1,Approve outcome-variable model,"Should outcomes use sosa:Property plus procedure, feature, quantity, unit/basis, and derivation?",shared_core_candidate_review.csv,Approve SC-07 through SC-11 as implementation design inputs.,yes,pending,,,
GR-07,2,Review practice parent groups,Which generated practice parents are true broader concepts versus editorial collections or duplicates?,hierarchy_node_review.csv,Start with rows carrying same_label_child_ids.,yes,pending,,,
GR-08,2,Review same-label distinct identities,"Confirm field Urea, Ash, crop Heat Tolerance, and generic Unspecified remain distinct from AOM feed or animal concepts.",identity_collision_audit.csv,Approve contextual distinction or improve definitions.,yes,pending,,,
GR-09,2,Review economic source defects,"Correct missing, swapped, example-only, and ambiguous definitions before identifier allocation.",source_quality_issues.csv,Correct canonical workbook; rerun review.,yes,pending,,,
GR-10,2,Review economic decomposition,"Should cost/benefit category, object, transaction, actor, time/basis, currency, and valuation method be explicit facets?",source_row_dispositions.csv,Approve SC-13 and refine SC-14.,yes,pending,,,
GR-11,3,Review external mapping candidates,"Do AgrO, ENVO, and ChEBI exact-label candidates match source definitions and entity types?",authority_label_candidates.csv,Approve individually; no bulk exactMatch.,no,pending,,,
GR-12,3,Resolve energy module boundary,"Where should cookstove, biodigester, and energy-management identities live?",source_row_dispositions.csv,Approve new module or explicit cross-domain routing before promotion.,yes,pending,,,
