audit_id,contract_area,finding,gate,recommendation,status,evidence_ids
PC-01,Scheme scope,Pilot labels both registries as crop-only.,block-public-promotion,"Rename and route rows by governed module because sources include crop, livestock, energy, social, and economic content.",open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-02,Source coverage,out_econ has no pilot representation.,block-completeness-claim,Integrate 65 economic rows only after variable decomposition and source correction.,open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-03,Source codes,Outcome vector formatting changes 58 integer codes to .0 and treats numeric spreadsheet cells as identifier numbers.,block-public-identifiers,"Govern codes as lexical identifiers, preserve displayed source notation, and prohibit vector-wide numeric formatting.",open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-04,Missing-value syntax,Literal NA is emitted as semantic property values.,fix-generator-before-rebuild,Normalize source sentinels to null while preserving raw provenance.,open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-05,Hierarchy semantics,All 405 source hierarchy edges become skos:broader.,block-hierarchy-promotion,Use collections for navigation and approve broader only after extensional identity review.,open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-06,Generated parent identity,Parent nodes are minted from label plus parent and sometimes duplicate child labels.,block-generated-parent-promotion,Collapse duplicates and review remaining groups as concepts versus collections.,open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-07,Global identity,Pilot mints parallel identities despite legacy ERA mappings and exact AOM label-definition matches.,block-id-allocation,Reuse stable AOM IDs only after row-level identity and module review.,open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-08,Practice study context,"Practice identity, absence, baseline, comparator, and treatment semantics share one hierarchy.",model-separation-required,"Separate practice concepts, application occurrences, conditions, and experimental roles.",open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-09,Outcome semantics,"Reporting levels, property identity, units, derivation flags, and interpretation metadata share one concept tree.",model-separation-required,"Use SOSA Property, procedure, quantity/unit/basis, derivation, and reporting collections.",open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-10,Operational linkage,Linked.Tab and Linked.Col are published without a field-key contract.,hold-semantic-promotion,Keep as source provenance until ADR 0052 field registry and binding rules are accepted.,open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-11,Lifecycle,One practice status is blank and deprecated rows can still receive pilot concepts.,fix-source-and-lifecycle,Resolve unknown status and require replacement or retirement decisions before activation.,open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
PC-12,Economic classification,"Fixed, variable, private, societal, and opportunity categories are treated as intrinsic row identity.",model-separation-required,"Represent accounting category as contextual classification with object, basis, and valuation method.",open,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING
