Table,Field,source_rows,value_rows,distinct_current_values,described_values,old_values,exact_match,candidate_registry_keys,generator_disposition,recommended_disposition,guided_disposition,source_edit_required,decision_basis,recommendation_status,human_decision,reviewer,review_date,decision_note
AF.Out,AF.Unit,2;3;4;5,4,4,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Animals.Diet.Comp,D.It.Source,581;582;583,3,3,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Data.Out,Error.Type,65;66;67;68;69;70;71;72,8,8,8,4,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Fert.Method,M.Source,102;103;104;105;106;107,6,6,6,6,no,Res.Method.M.Source,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-table-key-realignment-review,yes,One same-field candidate exists under another table; source identity and value scope require review.,held,,,,
GM.Out,GM.Biomass.Unit,635;636;637,3,3,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Graz.Rot,638;639;640;641,4,4,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Stock.Adapt.Meth,650;651;652,3,3,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Stock.Meth,642;643;644;645,4,4,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Subdiv.Area.Unit,626;627;628;629,4,4,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Subdiv.Stock.Rate.Unit,630;631;632;633,4,4,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Subdiv.Time.Unit,634,1,1,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Tot.Area.Unit,614;615;616;617,4,4,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Tot.Graz.Time.Unit,620;621;622;623;624;625,6,6,6,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,GM.Tot.Stock.Rate.Unit,618;619,2,2,2,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
GM.Out,Pasture.Shade,646;647;648;649,4,4,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Irrig.Out,I.Precision,149;150;151;152;153;154;155,7,7,7,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Irrig.Out,I.Type,156;157;158;159,4,4,0,4,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Out.Out,Out.FI.Unit,654;655;656;657;658;659;660;661;662;663;664;665;666;667;668;669;670;671;672;673;674;675;676;677;678;679;680;681;682;683,30,30,0,26,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
PD.Out,PD.Info.Pracs,184;185,2,2,2,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
PD.Out,PD.Timing.Pracs,186;187;188,3,3,3,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Pasture.Out,Pasture.Biom.Unit,653,1,1,0,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Plant.Out,Intercrop.Types,197;198;199;200;201;202;203;204;205;206;207;208;209,13,13,13,8,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Plant.Out,P.Info.Pracs,210;211,2,2,2,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
Plant.Out,P.Mechanization,226;227;228;229,4,4,4,0,no,,omitted-by-exact-key-join,Review stale table-field key against candidate registry keys; do not fuzzy-join automatically.,hold-add-field-or-retire-lookup,yes,"No candidate field key exists; source must add or restore field identity, or retire lookup pair.",held,,,,
