concept_id,preferred_label,review_axis,depth_from_axis_root,current_parent_ids,current_parent_labels,direct_child_count,descendant_count,semantic_type,ingredient_part_assertions,material_component_assertions,primary_constituent_assertions,composition_state_assertions,distinct_material_count,review_role,review_status,current_definition
AOM_101146,Feed chemical entities,chemical-identity,0,,,2,17,aom:FeedChemicalEntity,0,0,0,0,0,identity-root,proposed,Chemical substances and constituent categories used to describe feed identity or composition independently of feed product kind or additive function.
AOM_101023,Primary chemical constituents,chemical-identity,1,AOM_101146,Feed chemical entities,11,12,aom:ChemicalConstituent,0,0,0,0,0,constituent-category-grouping,proposed,Chemical substances or chemically defined fractions asserted as primary constituents of feed materials.
AOM_101147,Chemical substances,chemical-identity,1,AOM_101146,Feed chemical entities,2,3,aom:ChemicalSubstance,0,0,0,0,0,chemical-substance-grouping,proposed,"Chemically identified substances or substance groups represented independently of feed-material, formulation, or additive product kind; intended use and authorization require separate assertions."
AOM_000746,Chromium Oxide,chemical-identity,2,AOM_101147,Chemical substances,0,0,aom:ChemicalSubstance,0,0,0,0,0,chemical-substance-or-group,proposed,"A feed ingredient with governed workbook identity “Chromium Oxide”, classified within “Digestibility Marker”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted."
AOM_000809,Essential Fatty Acid,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,aom:ChemicalConstituent,0,0,0,0,0,chemical-entity-category,proposed,An AOM controlled category for “Essential Fatty Acid” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.
AOM_001571,Protein,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,aom:ChemicalConstituent,0,0,0,0,0,chemical-entity-category,proposed,"A feed-supplement ingredient with governed workbook identity “Protein”, classified within “Supplement”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted."
AOM_001577,Carbohydrate,chemical-identity,2,AOM_101023,Primary chemical constituents,1,1,aom:ChemicalConstituent,0,0,0,0,0,chemical-entity-category,proposed,"A feed-supplement ingredient with governed workbook identity “Carbohydrate”, classified within “Supplement”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted."
AOM_001865,Free Gossypol,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,aom:ChemicalConstituent,0,0,0,0,0,chemical-entity-category,proposed,"A feed ingredient with governed workbook identity “Free Gossypol”, classified within “Other Ingredients”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted."
AOM_006389,Organic Acid,chemical-identity,2,AOM_101147,Chemical substances,1,1,aom:ChemicalSubstance,0,0,0,0,0,chemical-substance-or-group,proposed,An AOM controlled category for “Organic Acid” within “Feed Ingredient”. Used to classify feed records at this scope; narrower material characteristics require separate assertions.
AOM_101064,Gluten constituent,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,,0,0,0,0,0,role-suffixed-constituent-category,held,Governed chemical constituent value used for ingredient-component semantics.
AOM_101065,Starch constituent,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,,0,0,4,0,4,role-suffixed-constituent-category,held,Governed chemical constituent value used for ingredient-component semantics.
AOM_101066,Fat constituent,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,,0,0,0,0,0,role-suffixed-constituent-category,held,Governed chemical constituent value used for ingredient-component semantics.
AOM_101067,Essential-oil constituent,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,,0,0,0,0,0,role-suffixed-constituent-category,held,Governed chemical constituent value used for ingredient-component semantics.
AOM_101080,Ash constituent,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,,0,0,1,0,1,role-suffixed-constituent-category,held,Governed chemical constituent value used for ingredient-component semantics.
AOM_101081,Oil constituent,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,,0,0,17,0,17,role-suffixed-constituent-category,held,Governed chemical constituent value used for ingredient-component semantics.
AOM_101120,Protein constituent,chemical-identity,2,AOM_101023,Primary chemical constituents,0,0,,0,0,1,0,1,duplicate-constituent-category,proposed,"Protein represented as a primary chemical constituent of a feed material, not as an ingredient component of a formulated feed."
AOM_000808,Fumaric Acid,chemical-identity,3,AOM_006389,Organic Acid,0,0,aom:ChemicalSubstance,0,0,0,0,0,chemical-substance-or-group,proposed,"A organic-acid feed ingredient with governed workbook identity “Fumaric Acid”, classified within “Organic Acid”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted."
AOM_001578,Dextrin,chemical-identity,3,AOM_001577,Carbohydrate,0,0,,0,0,0,0,0,chemical-entity-category,proposed,"A feed-supplement ingredient with governed workbook identity “Dextrin”, classified within “Carbohydrate”. Component, processing method, presentation form, bulk consistency, moisture condition, product role, integrity, composition, and constituent are unspecified unless separately asserted."
AOM_000196,Feed Chemical Composition,composition,0,,,45,104,,0,0,0,0,0,measured-composition-root,proposed,Any measurable characteristics related to the proportion of chemical components in feed.
AOM_000190,Measurement Method,composition,1,AOM_000196,Feed Chemical Composition,3,3,,0,0,0,0,0,composition-grouping,proposed,A livestock-management concept concerning Measurement Method within Feed Chemical Composition.
AOM_000197,Acid Detergent Fibre (ADF),composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,Any measurable characteristic related to the concentration of lignocellulosic fraction of vegetal cell wall components in food (EOL).
AOM_000198,Acid Detergent Lignin (ADL),composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,Any measurable characteristic related to the concentration of food lignin of vegetal cell wall components. Source: EOL
AOM_000199,Amino Acids,composition,1,AOM_000196,Feed Chemical Composition,24,24,,0,0,0,0,0,composition-grouping,proposed,any measurable characteristic related to the concentration of amino acids (CHEBI:33709) in food.
AOM_000225,Ammonia,composition,1,AOM_000196,Feed Chemical Composition,0,0,,0,0,0,0,0,composition-characteristic,proposed,any measurable characteristic related to the concentration of ammonia (CHEBI:16134) in feed
