concept_id,preferred_label,canonical_path,decision,status,governed_source_identity,blocker_code,reviewer,review_date,evidence,rationale
AOM_000693,Grass Local,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Grass Local,hold_local_identity_evidence,held,,local_identity_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Local or ambiguous name lacks geographic, biological, or product identity needed for public definition."
AOM_000695,Luscious Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Luscious Pasture,hold_local_identity_evidence,held,,local_identity_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Local or ambiguous name lacks geographic, biological, or product identity needed for public definition."
AOM_000748,Asperozym (Fibrolytic Enzymes),Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Asperozym (Fibrolytic Enzymes),hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_000749,Axtra Phy Broiler,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Axtra Phy Broiler,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_000765,Maclik,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Mineral Block/Maclik,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_001105,Lake Shells,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Byproduct/Shell/Lake Shells,hold_local_identity_evidence,held,,local_identity_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Local or ambiguous name lacks geographic, biological, or product identity needed for public definition."
AOM_001486,Lignobond,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Lignobond,approve_workbook_binder_role,approved,Lignobond,,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,Canonical workbook classifies named material as binder; composition remains unspecified.
AOM_001497,Megalac,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Megalac,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_001500,ACTIPAL HP 1,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/ACTIPAL HP 1,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
AOM_001501,AquaNutro Abalone Grower,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/AquaNutro Abalone Grower,hold_external_product_evidence,held,,external_product_evidence,Pete Steward,2026-08-06,era_master_sheet.xlsx#AOM;sha256:f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438,"Workbook classification alone does not establish branded product composition, manufacturer, or stable identity."
