feed_material_id,preferred_label,disposition,status,evidence,rationale
AOM_000536,Blood Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000537,Blood Dried Ground Heated,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000539,Bone Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000543,Fish Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000550,African Palm Larvae Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000551,Black Soldier Fly Larvae Dried Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000552,Grasshopper Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000553,Winged Termite Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000567,Hominy Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000596,Date Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000600,Watermelon Seed Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000606,Groundnut Husk Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000607,Groundnut Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
AOM_000613,Soybean Ground,no_identified_bulk_state_conflict,reviewed,docs/decisions/0042-feed-process-and-material-state-axes.md,Grinding supports particle-size reduction but does not establish moisture condition or bulk consistency.
