source_sheet,source_row,source_id,source_code_lexical,proposed_governed_code,source_label,source_status,domain,current_pilot_id,current_pilot_path,current_model_issue,recommended_resource,recommended_model,recommended_action,decision_status,legacy_code_mapping_candidates,same_label_aom_candidates,exact_definition_aom_candidates,authority_label_candidates,evidence_ids,reviewer,review_date,rationale
prac,2,prac:a1,a1,a1,Farmer Managed Natural Regeneration,FALSE,crop,era:practice:a1,Agroforestry / FMNR / Farmer Managed Natural Regeneration,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,3,prac:a3,a3,a3,Alleycropping (N fixing),FALSE,crop,era:practice:a3,Agroforestry / Alleycropping / Alleycropping (N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,4,prac:a4,a4,a4,Alleycropping (Non N fixing),FALSE,crop,era:practice:a4,Agroforestry / Alleycropping / Alleycropping (Non N fixing),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,hold-existing-aom-code-mapping-review,held,AOM_000024,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,5,prac:a4.1,a4.1,a4.1,Alleycropping (Mixed),FALSE,crop,era:practice:a4.1,Agroforestry / Alleycropping / Alleycropping (Mixed),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,6,prac:a14,a14,a14,Alleycropping (Unspecified),FALSE,crop,era:practice:a14,Agroforestry / Alleycropping / Alleycropping (Unspecified),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,hold-ambiguous-legacy-code-mapping,held,AOM_000008;AOM_000020,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,7,prac:a8,a8,a8,Parklands,FALSE,crop,era:practice:a8,Agroforestry / Parklands / Parklands,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,hold-ambiguous-legacy-code-mapping,held,AOM_000005;AOM_000015,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,8,prac:a8.1,a8.1,a8.1,Scattered Trees,FALSE,crop,era:practice:a8.1,Agroforestry / Parklands / Scattered Trees,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,hold-ambiguous-legacy-code-mapping,held,AOM_000005;AOM_000015,,,AGRO_00010164,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,9,prac:a9,a9,a9,Tree Windbreak,FALSE,crop,era:practice:a9,Agroforestry / Boundary Planting / Tree Windbreak,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,hold-ambiguous-legacy-code-mapping,held,AOM_000024;AOM_000026,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,10,prac:a10,a10,a10,Living Fences or Hedgerows,FALSE,crop,era:practice:a10,Agroforestry / Boundary Planting / Living Fences or Hedgerows,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,11,prac:a11,a11,a11,Silvopasture,FALSE,crop,era:practice:a11,Agroforestry / Silvopasture / Silvopasture,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,AGRO_00000580,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,12,prac:a22,a22,a22,Agrosilvopastoral System,FALSE,crop,era:practice:a22,Agroforestry / Silvopasture / Agrosilvopastoral System,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,hold-ambiguous-legacy-code-mapping,held,AOM_000024;AOM_000028,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,13,prac:a12,a12,a12,Multistrata Agroforestry,FALSE,crop,era:practice:a12,Agroforestry / Multistrata Agroforestry / Multistrata Agroforestry,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,hold-ambiguous-legacy-code-mapping,held,AOM_000024;AOM_000027,,,AGRO_00000581,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,14,prac:a15,a15,a15,Tree Prunings Applied (Unspecified),FALSE,crop,era:practice:a15,Agroforestry / Agroforestry Pruning / Tree Prunings Applied (Unspecified),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,hold-ambiguous-legacy-code-mapping,held,AOM_000008;AOM_000021,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Legacy ERA code points to multiple AOM identifiers.
prac,15,prac:a15.1,a15.1,a15.1,Tree Prunings Mulched (Unspecified),FALSE,crop,era:practice:a15.1,Agroforestry / Agroforestry Pruning / Tree Prunings Mulched (Unspecified),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
