source_value,normalized_value,primary_facet,secondary_facets,disposition,confidence,status,reviewer,review_date,evidence,rationale
Ash,ash,chemical_constituent,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a chemical fraction; confirm field means constituent rather than measured ash content.
Bean Cake,bean cake,composite_descriptor,physical_form;product_role,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines material identity with processed cake form and likely by-product role.
Bean Shell,bean shell,composite_descriptor,anatomical_part,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines source material qualifier with anatomical shell.
Beans,beans,anatomical_part,,review_single,low,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,May denote whole seeds or material identity rather than a component facet.
Binder,binder,product_role,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes functional role in feed rather than anatomy.
Block,block,physical_form,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes physical presentation of feed.
Bran,bran,composite_descriptor,processing_method;product_role,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names milling-derived material and usually a by-product role.
Brewers Grain,brewers grain,composite_descriptor,processing_method;product_role,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names brewing-derived material with by-product role; existing AOM identities are ambiguous.
Bulb,bulb,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Cake,cake,composite_descriptor,physical_form;processing_method;product_role,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Usually names pressed extraction residue and its physical form.
Cladode,cladode,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Cob,cob,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Corm,corm,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Discards,discards,product_role,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes rejected or secondary material role.
Flakes Defatted,flakes defatted,composite_descriptor,physical_form;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines flake form with fat-removal processing.
Fruits,fruits,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Full Fat,full fat,chemical_constituent,,review_single,low,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes compositional state rather than a discrete constituent; definition needed.
Full Fat Cake,full fat cake,composite_descriptor,chemical_constituent;physical_form;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines compositional state with processed cake descriptor.
Germ,germ,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names embryonic part of seed or grain.
Gluten,gluten,chemical_constituent,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a protein fraction.
Grain,grain,anatomical_part,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Common feed-part term broadly denoting harvested seed or fruit; scope review needed.
Hash,hash,unresolved_descriptor,,hold,low,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Meaning cannot be established without source context.
Haulm,haulm,composite_descriptor,anatomical_part;product_role,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Collective stems and leaves used as crop residue rather than one anatomical part.
Hay,hay,composite_descriptor,physical_form;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names preserved dried forage rather than anatomy.
Heads,heads,anatomical_part,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names plant reproductive head; source organism context needed.
Hull,hull,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names an outer anatomical covering.
Husk,husk,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names an outer anatomical covering.
Hydrolysate,hydrolysate,composite_descriptor,processing_method,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names product resulting from hydrolysis and implies processing method.
Juice,juice,composite_descriptor,physical_form;processing_method,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names extracted liquid material and implies extraction.
Kernel,kernel,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a seed or grain anatomical part.
Kernel Cake,kernel cake,composite_descriptor,anatomical_part;physical_form;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines kernel anatomy with processed cake form.
Leaves,leaves,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Leaves and Soft Twig,leaves and soft twig,composite_descriptor,anatomical_part,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines multiple anatomical structures.
Leaves and Twigs,leaves and twigs,composite_descriptor,anatomical_part,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines multiple anatomical structures.
Leaves Cake,leaves cake,composite_descriptor,anatomical_part;physical_form;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines leaf anatomy with processed cake form.
Leaves Extract,leaves extract,composite_descriptor,anatomical_part;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines leaf anatomy with extracted product.
Lick,lick,physical_form,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes feed presentation or delivery form.
Litter,litter,product_role,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Usually denotes residual bedding or poultry material; context needed.
Manure,manure,product_role,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes waste or secondary material role rather than anatomy.
Market Waste,market waste,product_role,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Explicitly identifies waste role and provenance context.
Meal,meal,physical_form,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes comminuted feed form though processing may also be implied.
Mix,mix,physical_form,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes composite presentation rather than biological part.
Molasses,molasses,composite_descriptor,processing_method;product_role,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names sugar-processing product commonly functioning as a by-product.
Offal,offal,product_role,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes animal-processing by-product role.
Oil,oil,chemical_constituent,,review_single,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names lipid fraction but may instead identify processed feed material.
Oil Crude,oil crude,composite_descriptor,chemical_constituent;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines lipid material with processing grade or state.
Peel,peel,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names an outer plant anatomical structure.
Peel Essential Oil,peel essential oil,composite_descriptor,anatomical_part;chemical_constituent;processing_method,decompose,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines source anatomy with extracted chemical fraction.
Peels,peels,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names outer plant anatomical structures.
Pods,pods,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Pods Husk,pods husk,composite_descriptor,anatomical_part,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Combines or ambiguously nests two anatomical covering terms.
Powder,powder,physical_form,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes physical presentation of material.
Processing Waste,processing waste,product_role,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Explicitly identifies waste role from processing.
Pseudo-stem,pseudo-stem,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
Pulp,pulp,composite_descriptor,physical_form;processing_method;product_role,decompose,medium,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,May describe soft material form or processing residue; context needed.
Residue,residue,product_role,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Describes residual or secondary material role.
Root,root,anatomical_part,,review_single,high,approved-classification,Pete Steward,2026-08-04,aggregate-only-livestock-profile,Names a plant anatomical structure.
