collision_key,concept_ids,preferred_labels,candidate_count,status,recommended_action
acacia albida,AOM_001145;AOM_002206;AOM_006371,Faidherbia albida;Acacia Albida;Faidherbia albida Dried,3,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
avocado,AOM_000664;AOM_001201,Ripe Avocado;Avocado,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
black cumin seed cake,AOM_002215;AOM_006158,Black Cumin Seed Cake;Black Cumin Seed Cake Crushed Dried,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
bluestem,AOM_001380;AOM_001581,Andropogon gayanus;Andropogon gayanus Dried,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
brewers by product,AOM_001884;AOM_006160,Brewers Grain;Brewers By-Product,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
brewers grain,AOM_000564;AOM_000565;AOM_001884,Brewers Grain;Brewers Spent Grain;Brewers Grain,3,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
cotton seed,AOM_001312;AOM_003973,Cotton Seed;Cotton Seed,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
lablab hay,AOM_001665;AOM_001732,Lablab purpureus Dried Wilted;Lablab purpureus Dried,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
mucuna pruriens seed boiled dried ground,AOM_006231;AOM_006500,Mucuna pruriens Seed Boiled Dried Ground;Mucuna pruriens Seed Boiled Dried Ground,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
soybean cake,AOM_000610;AOM_002021,Soybean Cake;Soybean Cake Ground,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
soybean flakes defatted crushed dehulled dried extruded heated ground,AOM_002121;AOM_002122,Soybean Flakes Defatted Crushed Dehulled Heated;Soybean Flakes Defatted Crushed Dehulled Dried Extruded Heated Ground,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
spent yeast,AOM_001420;AOM_001422,Saccharomyces cerevisiae;Spent Yeast,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
sudan grass,AOM_001446;AOM_006315,Sorghum sudanense;Sorghum sudanense Dried,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
trout oil,AOM_001930;AOM_002245,Trout Oil;Trout Oil Ensiled,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
trout oil ensiled,AOM_001930;AOM_002245,Trout Oil;Trout Oil Ensiled,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
white acacia,AOM_001145;AOM_006371,Faidherbia albida;Faidherbia albida Dried,2,review-required,"Compare definitions, hierarchy, occurrences, and external identifiers; retain one ID only when identity is confirmed."
